LEGACY_TAX_CATEGORY	APPLICATION	TAX_CATEGORY	TAX_CATEGORY_TXT_GBL	TAX_CATEGORY_TXT_LCL	DI_TIMESTAMP										
ICD3	TX	ICD3	ICMS DIFAL/CIAP/Asse	ICMS DIFAL/CIAP/Anl.	2017.07.06 08:56:49										
ICDF	TX	ICDF	ICMS Deductibl-DIFAL	ICMS Abzugsf.-DIFAL	2017.07.06 08:56:49										
ICM0	TX	ICM0	ICMS NF Zero Line	ICMS NF Nullzeile	2017.07.06 08:56:49										
ICM1	TX	ICM1	ICMS Industr.    In	ICMS Branche    Eing	2017.07.06 08:56:49										
ICM2	TX	ICM2	ICMS Consumption In	ICMS Verbrauch  Eing	2017.07.06 08:56:49										
ICM3	TX	ICM3	ICMS from SD    Out	ICMS von SD     Ausg	2017.07.06 08:56:49										
ICM4	TX	ICM4	ICMS Consum Outgoing	ICMS Verbr. Ausgeh.	2017.07.06 08:56:49										
ICMF	TX	ICMF	ICMS S.T. fr. offset	ICMS S.T. Fr. Abgr.	2017.07.06 08:56:49										
ICML	TX	ICML	ICMS DIFAL Offs. Out	ICMS DIFAL Abgr. Aus	2017.07.06 08:56:49										
ICMM	TX	ICMM	ICMS DIFAL Out	ICMS DIFAL Ausg.	2017.07.06 08:56:49										
ICMO	TX	ICMO	ICMS Ind.Clear.Off.	ICMS Ind.Clear.Off.	2017.07.06 08:56:49										
ICMP	TX	ICMP	ICMS DIFAL Inv. Off.	ICMS DIFAL Inv. Abg.	2017.07.06 08:56:49										
ICMT	TX	ICMT	ICMS DIFAL Investmen	ICMS DIFAL Invest.	2017.07.06 08:56:49										
ICMV	TX	ICMV	ICMS DIFAL Con/Asset	ICMS DIFAL Kon/Anl.	2017.07.06 08:56:49										
ICMX	TX	ICMX	ICMS Active	ICMS Aktiv	2017.07.06 08:56:49										
ICMY	TX	ICMY	ICMS Active	ICMS Aktiv	2017.07.06 08:56:49										
ICMZ	TX	ICMZ	ICMS Active	ICMS Aktiv	2017.07.06 08:56:49										
ICN3	TX	ICN3	COFINS Normal Tax	COFINS Normale Steu.	2017.07.06 08:56:49										
ICO1	TX	ICO1	ICMS Compl. Transfer	ICMS Vollumbuchung	2017.07.06 08:56:49										
ICO2	TX	ICO2	ICMS Compl. Tra Offs	ICMS Vollumbuch. Ab.	2017.07.06 08:56:49										
ICO3	TX	ICO3	ICMS Compl. NVV	ICMS Voll. NVV	2017.07.06 08:56:49										
ICO4	TX	ICO4	ICMS Compl. NVV off	ICMS Voll. NVV Abgr.	2017.07.06 08:56:49										
ICOA	TX	ICOA	COFINS Normal PO/GR	COFINS Normal PO/GR	2017.07.06 08:56:49										
ICOF	TX	ICOF	COFINS deductible	COFINS abzugsfähig	2017.07.06 08:56:49										
ICON	TX	ICON	COFINS Normal Tax	COFINS Normale Steu.	2017.07.06 08:56:49										
ICOO	TX	ICOO	COFINS OffsetTaxIncl	COFINS Abgr.St.inkl.	2017.07.06 08:56:49										
ICOP	TX	ICOP	ICMS complement	ICMS-Ergänzung	2017.07.06 08:56:49										
ICOQ	TX	ICOQ	COFINS WHT Accum.	COFINS QSt kumuliert	2017.07.06 08:56:49										
ICOR	TX	ICOR	COFINS Diff Resale	COFINS Diff.Wiederv.	2017.07.06 08:56:49										
ICOS	TX	ICOS	COFINS Normal PO/GR	COFINS Normal PO/GR	2017.07.06 08:56:49										
ICOT	TX	ICOT	STO-ICMS Complement	STO-ICMS-Ergänzung	2017.07.06 08:56:49										
ICOU	TX	ICOU	Cofins IV Non Deduct	COFINS IV n.abzugsf.	2017.07.06 08:56:49										
ICOV	TX	ICOV	Cofins Offset	COFINS-Abgrenzung	2017.07.06 08:56:49										
ICOW	TX	ICOW	COFINS WHT	COFINS QSt	2017.07.06 08:56:49										
ICOX	TX	ICOX	ICMS complement 100	ICMS-Ergänzung 100	2017.07.06 08:56:49										
ICOZ	TX	ICOZ	COFINS WHT Offset	COFINS QSt Abgrenz.	2017.07.06 08:56:49										
ICS1	TX	ICS1	Sub.Tributaria   In	Sub.Tributaria   Ein	2017.07.06 08:56:49										
ICS2	TX	ICS2	S.T. Consumption In	S.T. Verbrauch   Ein	2017.07.06 08:56:49										
ICS3	TX	ICS3	Sub.Tributaria  Out	Sub.Tributaria  Aus	2017.07.06 08:56:49										
ICS4	TX	ICS4	S.T. Indus Not in NF	S.T. Indus ni. in NF	2017.07.06 08:56:49										
ICS5	TX	ICS5	S.T. Cons. Not in NF	S.T. Verb. ni. in NF	2017.07.06 08:56:49										
ICS6	TX	ICS6	S.T. Cons.Offset	S.T. Verbr. Abgrenz.	2017.07.06 08:56:49										
ICS7	TX	ICS7	S.T. Cons. Not in NF	S.T. Verb. ni. in NF	2017.07.06 08:56:49										
ICS8	TX	ICS8	S.T. Cons. Not in NF	S.T. Verb. ni. in NF	2017.07.06 08:56:49										
ICS9	TX	ICS9	S.T. Consumption In	S.T. Verbrauch   Ein	2017.07.06 08:56:49										
ICSQ	TX	ICSQ	CSLL WHT  - Accum.	CSLL QSt  - Kumul.	2017.07.06 08:56:49										
ICSW	TX	ICSW	CSLL WHT	CSLL QSt	2017.07.06 08:56:49										
ICSZ	TX	ICSZ	CSLL WHT Offset	CSLL QSt Abgrenzung	2017.07.06 08:56:49										
ICW3	TX	ICW3	COFINS WHT SD	COFINS QSt SD	2017.07.06 08:56:49										
ICW5	TX	ICW5	COFINS WHT SD-Accum.	COFINS QSt SD-Kumul.	2017.07.06 08:56:49										
ICZ3	TX	ICZ3	COFINS WHT Offset SD	COFINS QSt Abgr. SD	2017.07.06 08:56:49										
ICZF	TX	ICZF	ICMS Reverse (Z.F.)	ICMS Storno (Z.F.)	2017.07.06 08:56:49										
IFR1	TX	IFR1	ICMS on freight  In	ICMS auf Fracht  Ein	2017.07.06 08:56:49										
IFR3	TX	IFR3	ICMS on freight  Out	ICMS auf Fracht  Aus	2017.07.06 08:56:49										
IFS1	TX	IFS1	ICMS ST freight  In	ICMS ST Fracht   Ein	2017.07.06 08:56:49										
IFS3	TX	IFS3	ICMS ST freight  Out	ICMS ST Fracht   Aus	2017.07.06 08:56:49										
IGEQ	TX	IGEQ	General WHT-Accum.	Allgem. QSt-Kumul.	2017.07.06 08:56:49										
IGEW	TX	IGEW	General WHT	Allgemein QSt	2017.07.06 08:56:49										
IGEZ	TX	IGEZ	General WHT Offset	Allgem. QSt-Abgrenz.	2017.07.06 08:56:49										
IGW3	TX	IGW3	General WHT SD	Allgemeine QSt SD	2017.07.06 08:56:49										
IGW5	TX	IGW5	General WHT SD-Accum	Allgem. QSt SD-Kumul	2017.07.06 08:56:49										
IGZ3	TX	IGZ3	Genera WHT Offset SD	Allgem. QSt Abgr. SD	2017.07.06 08:56:49										
IIRQ	TX	IIRQ	IR WHT-Accum.	IR QSt-Kumul.	2017.07.06 08:56:49										
IIRW	TX	IIRW	IR WHT	IR QSt	2017.07.06 08:56:49										
IIRZ	TX	IIRZ	IR WHT Offset	IR QSt Abgrenzung	2017.07.06 08:56:49										
INSS	TX	INSS	INSS Incoming	INSS Eingang	2017.07.06 08:56:49										
INSX	TX	INSX	INSS offset (100-)	INSS Abgrenz. (100-)	2017.07.06 08:56:49										
IP10	TX	IP10	IPI Null Values NF	IPI Null Werte NF	2017.07.06 08:56:49										
IP11	TX	IP11	IPI  Industr.    In	IPI  Branche     Ein	2017.07.06 08:56:49										
IP12	TX	IP12	IPI  Consumption In	IPI  Verbrauch   Ein	2017.07.06 08:56:49										
IP13	TX	IP13	IPI  Consumption In	IPI  Verbrauch   Ein	2017.07.06 08:56:49										
IP1C	TX	IP1C	IPI  Ind.Clearing	IPI  Kz. Verrechn.	2017.07.06 08:56:49										
IP1O	TX	IP1O	IPI  Ind.Clear.Off.	IPI  Kz. Verr. Abgr.	2017.07.06 08:56:49										
IPI0	TX	IPI0	IPI NF Zero Line	IPI NF Nullzeile	2017.07.06 08:56:49										
IPI1	TX	IPI1	IPI  Industr.    In	IPI  Branche     Ein	2017.07.06 08:56:49										
IPI2	TX	IPI2	IPI  Consumption In	IPI  Verbrauch   Ein	2017.07.06 08:56:49										
IPI3	TX	IPI3	IPI from SD     Out	IPI von SD      Aus	2017.07.06 08:56:49										
IPI4	TX	IPI4	IPI -Split Vendor	IPI -Split Vendor	2017.07.06 08:56:49										
IPI5	TX	IPI5	IPI  Consu. REF IPI2	IPI  Verbr. REF IPI2	2017.07.06 08:56:49										
IPI6	TX	IPI6	IPI  Consu. REF IPI2	IPI  Verbr. REF IPI2	2017.07.06 08:56:49										
IPIA	TX	IPIA	IPI Industr. Out	IPI Branche Aus.	2017.07.06 08:56:49										
IPIB	TX	IPIB	IPI Consum Out	IPI Verbrauch aus	2017.07.06 08:56:49										
IPIO	TX	IPIO	IPI Null Values NF	IPI Null Werte NF	2017.07.06 08:56:49										
IPIS	TX	IPIS	PIS deductible	PIS abzugsfähig	2017.07.06 08:56:49										
IPIX	TX	IPIX	IPI  Active	IPI  Aktiv	2017.07.06 08:56:49										
IPIY	TX	IPIY	IPI  Active	IPI  Aktiv	2017.07.06 08:56:49										
IPIZ	TX	IPIZ	IPI  Active	IPI  Aktiv	2017.07.06 08:56:49										
IPS3	TX	IPS3	PIS Normal Tax	PIS Normale Steuer	2017.07.06 08:56:49										
IPSA	TX	IPSA	PIS Normal PO/GR	PIS Normal PO/GR	2017.07.06 08:56:49										
IPSN	TX	IPSN	PIS Normal Tax	PIS Normale Steuer	2017.07.06 08:56:49										
IPSO	TX	IPSO	PIS Offset Tax Incl.	PIS Abgr.SteuerInkl.	2017.07.06 08:56:49										
IPSQ	TX	IPSQ	PIS WHT - Accum.	PIS QSt - kumuliert	2017.07.06 08:56:49										
IPSS	TX	IPSS	PIS Nrmal PO/GR	PIS Normal PO/GR	2017.07.06 08:56:49										
IPSU	TX	IPSU	PIS Normal IV NVV	PIS Normal IV NVV	2017.07.06 08:56:49										
IPSV	TX	IPSV	Offset IPSS / IPSU	Abgrenz. IPSS / IPSU	2017.07.06 08:56:49										
IPSW	TX	IPSW	PIS WHT	PIS QSt	2017.07.06 08:56:49										
IPSZ	TX	IPSZ	PIS WHT Offset	PIS QSt Abgrenzung	2017.07.06 08:56:49										
IPW3	TX	IPW3	PIS WHT SD	PIS QSt SD	2017.07.06 08:56:49										
IPW5	TX	IPW5	PIS WHT SD - Accum.	PIS QSt - kumuliert	2017.07.06 08:56:49										
IPZ3	TX	IPZ3	PIS WHT SD Offset	PIS QSt SD Abgrenz.	2017.07.06 08:56:49										
IRD1	TX	IRD1	ICMS Reimbursement	ICMS Erstattung	2017.07.06 08:56:49										
IRD2	TX	IRD2	ICMS Reimbur. Offset	ICMS Erstatt. Abgr.	2017.07.06 08:56:49										
IRD3	TX	IRD3	SUBT Reimbursement	SUBT Erstattung	2017.07.06 08:56:49										
IRD4	TX	IRD4	SUBT Reimbur. Offset	SUBT Erstatt. Abgr.	2017.07.06 08:56:49										
IRD5	TX	IRD5	ICMS Reim.Offset NVV	ICMS Erst. Abgr. NVV	2017.07.06 08:56:49										
IRD6	TX	IRD6	SUBT Reim.Offset NVV	SUBT Erst. Abgr. NVV	2017.07.06 08:56:49										
IRW3	TX	IRW3	IR WHT SD	IR QSt SD	2017.07.06 08:56:49										
IRW5	TX	IRW5	IR WHT SD-Accum.	IR QSt SD-Kumul.	2017.07.06 08:56:49										
IRZ3	TX	IRZ3	IR WHT SD Offset	IR QSt SD Abgrenzung	2017.07.06 08:56:49										
ISA3	TX	ISA3	ISS at Provider SD	ISS beim Anbieter SD	2017.07.06 08:56:49										
ISB3	TX	ISB3	ISS WHT at Prov. SD	ISS QSt beim Anb. SD	2017.07.06 08:56:49										
ISE3	TX	ISE3	ISS at Serv.Loc.  SD	ISS am LeistOrt   SD	2017.07.06 08:56:49										
ISF3	TX	ISF3	ISS WHT  Srv.Loc. SD	ISS QSt  LeistOrt SD	2017.07.06 08:56:49										
ISS2	TX	ISS2	ISS from MM  In	ISS von MM   Eing.	2017.07.06 08:56:49										
ISS3	TX	ISS3	ISS from SD     Out	ISS von SD      Ausg	2017.07.06 08:56:49										
ISSA	TX	ISSA	ISS at Provider	ISS beim Anbieter	2017.07.06 08:56:49										
ISSB	TX	ISSB	ISS WHT at Provider	ISS QSt beim Anbiet.	2017.07.06 08:56:49										
ISSE	TX	ISSE	ISS at Service Loc	ISS am Leistungsort	2017.07.06 08:56:49										
ISSF	TX	ISSF	ISS WHT at Serv. Loc	ISS QSt am LeistOrt	2017.07.06 08:56:49										
ISSG	TX	ISSG	ISS Offset	ISS Offset Provider	2017.07.06 08:56:49										
ISSO	TX	ISSO	ISS from SD     Out	ISS von SD      Ausg	2017.07.06 08:56:49										
ISW3	TX	ISW3	CSLL WHT SD	CSLL QSt SD	2017.07.06 08:56:49										
ISW5	TX	ISW5	CSLL WHT SD - Accum.	CSLL QSt SD - Kumul.	2017.07.06 08:56:49										
ISZ3	TX	ISZ3	CSLL WHT SD Offset	CSLL QSt SD Abgrenz.	2017.07.06 08:56:49										
IT01	TX	IT01	ICMS Industr.    In	ICMS Branche    Eing	2017.07.06 08:56:49										
IT02	TX	IT02	ICMS Industr.    In	ICMS Branche    Eing	2017.07.06 08:56:49										
IT03	TX	IT03	ICMS Industr.    In	ICMS Branche    Eing	2017.07.06 08:56:49										
ITCO	TX	ITCO	COFINS	COFINS	2017.07.06 08:56:49										
ITPI	TX	ITPI	PIS	PIS	2017.07.06 08:56:49										
ITSL	TX	ITSL	ISS Service Location	ISS Leistungsort	2017.07.06 08:56:49										
ITSP	TX	ITSP	ISS Service Provider	ISS Dienstleister	2017.07.06 08:56:49										
ITWL	TX	ITWL	ISS WHT Service Lctn	ISS QSt Leistungsort	2017.07.06 08:56:49										
ITWP	TX	ITWP	ISS WHT Service Prv.	ISS QSt Dienstleist.	2017.07.06 08:56:49										
IUCO	TX	IUCO	COFINS Offset	COFINS Abgrenzung	2017.07.06 08:56:49										
IUPI	TX	IUPI	PIS Offset	PIS Abgrenzung	2017.07.06 08:56:49										
IUSL	TX	IUSL	ISS Offset Serv.Loc.	ISS Abgrenz.LeistOrt	2017.07.06 08:56:49										
IUSP	TX	IUSP	ISS Offset Srv.Prvdr	ISS Abgrenz.Dienstl.	2017.07.06 08:56:49										
IVCO	TX	IVCO	COFINS Offset Sales	COFINS Abgrenz. Ums.	2017.07.06 08:56:49										
IVPI	TX	IVPI	PIS Offset Sales	PIS Abgrenz. Umsatz	2017.07.06 08:56:49										
IVSL	TX	IVSL	ISS Offset SL Sales	ISS Abgrenz. SL Ums.	2017.07.06 08:56:49										
IVSP	TX	IVSP	ISS Offset SP Sales	ISS Abgrenz. SP Ums.	2017.07.06 08:56:49										
J1A1	TX	J1A1	GI surch. Region 1	GI Zuschlag Region 1	2017.07.06 08:56:49										
J1A2	TX	J1A2	GI surch. Region 2	GI Zuschlag Region 2	2017.07.06 08:56:49										
J1A3	TX	J1A3	GI surch. Region 3	GI Zuschlag Region 3	2017.07.06 08:56:49										
J1AA	TX	J1AA	VAT Disc. Customs	MwSt. Rabatt Zoll	2017.07.06 08:56:49										
J1AG	TX	J1AG	ET Disc. Customs	ET Rabatt Zoll	2017.07.06 08:56:49										
J1AI	TX	J1AI	Internal Purch. Tax	Interne Vorsteuer	2017.07.06 08:56:49										
J1AL	TX	J1AL	Exemption w. Credit	Befreiung mit Haben	2017.07.06 08:56:49										
J1AN	TX	J1AN	Exemption w/o Credit	Befreiung ohne Haben	2017.07.06 08:56:49										
J1AP	TX	J1AP	VAT discount	MwSt.-Rabatt	2017.07.06 08:56:49										
J1AR	TX	J1AR	VAT Surcharge RNI	MwSt.-Zuschlag RNI	2017.07.06 08:56:49										
J1AS	TX	J1AS	Surcharge No Categ.	Zuschlag keine Katg.	2017.07.06 08:56:49										
J1AV	TX	J1AV	Internal Purch. Tax	Interne Vorsteuer	2017.07.06 08:56:49										
J1AY	TX	J1AY	Not taxed	Nicht besteuert	2017.07.06 08:56:49										
J2A1	TX	J2A1	ISC Perú	ISC Peru	2017.07.06 08:56:49										
J2A2	TX	J2A2	IGV Perú - Adq.002	IGV Peru - Adq. 002	2017.07.06 08:56:49										
J2A3	TX	J2A3	IGV Perú - Adq.003	IGV Peru - Adq. 003	2017.07.06 08:56:49										
J2A4	TX	J2A4	Advalorem (Perú)	Advalorem (Peru)	2017.07.06 08:56:49										
J2A5	TX	J2A5	IPM tax Peru	IPM-Steuer Peru	2017.07.06 08:56:49										
J3A1	TX	J3A1	Fuel tax (ded.)	Brennstoffst. (abz.)	2017.07.06 08:56:49										
J3A2	TX	J3A2	Fuel tax (nonded.)	BrennstSt.(n. abz.)	2017.07.06 08:56:49										
JAED	TX	JAED	IN: A/R AED	IN: DE AED	2017.07.06 08:56:49										
JAIP	TX	JAIP	IN AED inventory %	IN AED Bestand %	2017.07.06 08:56:49										
JAIQ	TX	JAIQ	IN AED inventory Qty	IN AED Bestandsmenge	2017.07.06 08:56:49										
JAO1	TX	JAO1	IN: A/P AED deductib	IN: KR AED abzugsf.	2017.07.06 08:56:49										
JAO2	TX	JAO2	IN:A/P AED nondeduct	IN:KR AED n. abzugs.	2017.07.06 08:56:49										
JAOP	TX	JAOP	IN: AED setoff %	IN: AED Aufrechn. %	2017.07.06 08:56:49										
JAOQ	TX	JAOQ	IN: AED setoff Qty	IN: AED Aufrech. Mge	2017.07.06 08:56:49										
JAX1	TX	JAX1	IN: A/P AED setoff	IN: KR AED Aufrechn.	2017.07.06 08:56:49										
JAX2	TX	JAX2	IN: A/P AED inventor	IN: KR AED Bestand	2017.07.06 08:56:49										
JC1E	TX	JC1E	A/P GST Recoverable	KR GST weiterreichb.	2017.07.06 08:56:49										
JC1I	TX	JC1I	A/P PST distributed	KR PST verteilt	2017.07.06 08:56:49										
JC1S	TX	JC1S	A/P recoverable	KR weiterreichbar	2017.07.06 08:56:49										
JC1T	TX	JC1T	A/P Travel GST	Kreditoren Reise GST	2017.07.06 08:56:49										
JC1U	TX	JC1U	A/P PST Self-assess	KR PST Selbstveranl.	2017.07.06 08:56:49										
JC2E	TX	JC2E	A/P GST distributed	KR GST verteilt	2017.07.06 08:56:49										
JC2I	TX	JC2I	A/P prov. (B+GST)	KR Rückst. (B+GST)	2017.07.06 08:56:49										
JC2S	TX	JC2S	A/P QST	Kreditoren QST	2017.07.06 08:56:49										
JC2T	TX	JC2T	A/P Travel HST	Kreditoren Reise HST	2017.07.06 08:56:49										
JC2U	TX	JC2U	A/P assess QST	Kredit. veranl. QST	2017.07.06 08:56:49										
JC3I	TX	JC3I	A/P prov. (B+GST)	KR Rückst. (B+GST)	2017.07.06 08:56:49										
JC3S	TX	JC3S	A/P Recov. B + GST	KR Rückford. B + GST	2017.07.06 08:56:49										
JC3T	TX	JC3T	A/P Travel QST	Kreditoren Reise QST	2017.07.06 08:56:49										
JC3U	TX	JC3U	A/P assess B + GST	KR veranl. B + GST	2017.07.06 08:56:49										
JC4I	TX	JC4I	A/P prov. (B+GST)	KR Rückst. (B+GST)	2017.07.06 08:56:49										
JC4S	TX	JC4S	A/P Recov. B + GST	KR Rückford. B + GST	2017.07.06 08:56:49										
JC4T	TX	JC4T	Recapture ITC	Rückgew. VorSt (ITC)	2017.07.06 08:56:49										
JC4U	TX	JC4U	A/P assess B + GST	KR veranl. B + GST	2017.07.06 08:56:49										
JC5S	TX	JC5S	A/P HST	Kreditoren HST	2017.07.06 08:56:49										
JC5T	TX	JC5T	PST/QST Non-Recovera	PST/QST ni.erstattb.	2017.07.06 08:56:49										
JC5U	TX	JC5U	A/P assess HST	Kredit. veranl. HST	2017.07.06 08:56:49										
JCES	TX	JCES	IN: A/R Cess	IN: DE Cess	2017.07.06 08:56:49										
JCS1	TX	JCS1	IN A/R CST out	IN DE CST Ausg.	2017.07.06 08:56:49										
JCS2	TX	JCS2	IN A/R Sur out	IN DE Zuschlag ausg.	2017.07.06 08:56:49										
JGST	TX	JGST	A/P GST	KR GST	2017.07.06 08:56:49										
JIN1	TX	JIN1	IN: A/R CST	IN: DE CST	2017.07.06 08:56:49										
JIN2	TX	JIN2	IN: AR LST	IN: DE LST	2017.07.06 08:56:49										
JIN4	TX	JIN4	IN: A/R CST Surcharg	IN: DE CST Zuschlag	2017.07.06 08:56:49										
JIN5	TX	JIN5	IN: AR LST Surcharg	IN: DE LST Zuschlag	2017.07.06 08:56:49										
JIP1	TX	JIP1	IN:A/P CST	IN: KR CST	2017.07.06 08:56:49										
JIP2	TX	JIP2	IN:A/P LST	IN: KR LST	2017.07.06 08:56:49										
JIP3	TX	JIP3	IN: A/P ST setoff	IN: KR ST Aufrechn.	2017.07.06 08:56:49										
JIP4	TX	JIP4	IN: A/P surcharge	IN: KR Zuschlag	2017.07.06 08:56:49										
JIPC	TX	JIPC	IN C Sales tax inv.	IN C Umsatzst. Best.	2017.07.06 08:56:49										
JIPL	TX	JIPL	IN L Sales tax inv.	IN L Umsatzst. Best.	2017.07.06 08:56:49										
JIPS	TX	JIPS	IN Sales tax setoff	IN Umsatzst. Aufrech	2017.07.06 08:56:49										
JLS1	TX	JLS1	IN A/P LST out	IN KR LST Ausg.	2017.07.06 08:56:49										
JLS2	TX	JLS2	IN A/P LST Surc out	IN KR LST ZuschlAusg	2017.07.06 08:56:49										
JMIP	TX	JMIP	IN: BED inventory %	IN: BED Bestand %	2017.07.06 08:56:49										
JMIQ	TX	JMIQ	IN: BED inventory Qt	IN: BED Bestandsmge.	2017.07.06 08:56:49										
JMO1	TX	JMO1	IN: A/P BED deductib	IN: KR BED abzugsf.	2017.07.06 08:56:49										
JMO2	TX	JMO2	IN: A/P BED non dedu	IN: KR BED n. abzug.	2017.07.06 08:56:49										
JMOD	TX	JMOD	IN: A/R BED	IN: DE BED	2017.07.06 08:56:49										
JMOP	TX	JMOP	IN: BED setoff %	IN: BED Aufrechn. %	2017.07.06 08:56:49										
JMOQ	TX	JMOQ	IN: BED setoff Qty	IN: BED Aufrech. Mge	2017.07.06 08:56:49										
JMX1	TX	JMX1	IN: A/P BED setoff	IN: KR BED Aufrechn.	2017.07.06 08:56:49										
JMX2	TX	JMX2	IN: A/P BED inventor	IN: KR BED Bestand	2017.07.06 08:56:49										
JP1E	TX	JP1E	A/P Sales Tax 1 Exp.	KR Umsatzst. 1 Befr.	2017.07.06 08:56:49										
JP1I	TX	JP1I	A/P Sales Tax 1 Inv.	KR Umsatzst. 1 Best.	2017.07.06 08:56:49										
JP1U	TX	JP1U	A/P Sales Tax 1 Use	KR Umsatzst. 1 Verw.	2017.07.06 08:56:49										
JP2E	TX	JP2E	A/P Sales Tax 2 Exp.	KR Umsatzst. 2 Befr.	2017.07.06 08:56:49										
JP2I	TX	JP2I	A/P Sales Tax 2 Inv.	KR Umsatzst. 2 Best.	2017.07.06 08:56:49										
JP2U	TX	JP2U	A/P Sales Tax 2 Use	KR Umsatzst. 2 Verw.	2017.07.06 08:56:49										
JP3E	TX	JP3E	A/P Sales Tax 3 Exp.	KR Umsatzst. 3 Befr.	2017.07.06 08:56:49										
JP3I	TX	JP3I	A/P Sales Tax 3 Inv.	KR Umsatzst. 3 Best.	2017.07.06 08:56:49										
JP3U	TX	JP3U	A/P Sales Tax 3 Use	KR Umsatzst. 3 Verw.	2017.07.06 08:56:49										
JP4E	TX	JP4E	A/P Sales Tax 4 Exp.	KR Umsatzst. 4 Befr.	2017.07.06 08:56:49										
JP4I	TX	JP4I	A/P Sales Tax 4 Inv.	KR Umsatzst. 4 Best.	2017.07.06 08:56:49										
JP4U	TX	JP4U	A/P Sales Tax 4 Use	KR Umsatzst. 4 Verw.	2017.07.06 08:56:49										
JR1	TX	JR1	A/R Sales Tax 1	DE Umsatzsteuer 1	2017.07.06 08:56:49										
JR2	TX	JR2	A/R Sales Tax 2	DE Umsatzsteuer 2	2017.07.06 08:56:49										
JR3	TX	JR3	A/R Sales Tax 3	DE Umsatzsteuer 3	2017.07.06 08:56:49										
JR4	TX	JR4	A/R Sales Tax 4	DE Umsatzsteuer 4	2017.07.06 08:56:49										
JRC1	TX	JRC1	A/R Sales GST	Debitoren Umsatz GST	2017.07.06 08:56:49										
JRC2	TX	JRC2	A/R Sales PST	Debitoren Umsatz PST	2017.07.06 08:56:49										
JRC3	TX	JRC3	A/R Sales QST	Debitoren Umsatz QST	2017.07.06 08:56:49										
JRC4	TX	JRC4	A/R Sales HST	Debitoren Umsatz HST	2017.07.06 08:56:49										
JSED	TX	JSED	IN: A/R SED	IN: DE SED	2017.07.06 08:56:49										
JSER	TX	JSER	IN: Service tax	IN: DienstleisSteuer	2017.07.06 08:56:49										
JSIP	TX	JSIP	IN SED inventory %	IN SED Bestand %	2017.07.06 08:56:49										
JSIQ	TX	JSIQ	IN SED inventory Qty	IN SED Bestandsmenge	2017.07.06 08:56:49										
JSO1	TX	JSO1	IN: A/P SED deductib	IN: KR SED abzugsf.	2017.07.06 08:56:49										
JSO2	TX	JSO2	IN:A/P SED non deduc	IN:KR SED ni.abzugs.	2017.07.06 08:56:49										
JSOP	TX	JSOP	IN: SED setoff %	IN: SED Aufrechn. %	2017.07.06 08:56:49										
JSOQ	TX	JSOQ	IN: SED setoff Qty	IN: SED Aufrech. Mge	2017.07.06 08:56:49										
JSVD	TX	JSVD	IN:Service tax debit	IN: DienstlSt. Soll	2017.07.06 08:56:49										
JSX1	TX	JSX1	IN: A/P SED setoff	IN: KR SED Aufrechn.	2017.07.06 08:56:49										
JSX2	TX	JSX2	IN: A/P SED inventor	IN: KR SED Bestand	2017.07.06 08:56:49										
KPXX	TX	KPXX	Output Tax (test)	Ausgangssteu. (Test)	2017.07.06 08:56:49										
KRIC	TX	KRIC	Construc. Inp Tax KR	Construc. Vorst. KR	2017.07.06 08:56:49										
KRIT	TX	KRIT	Input Tax KR	Vorsteuer KR	2017.07.06 08:56:49										
KRNI	TX	KRNI	Issue Exemption	Befreiung	2017.07.06 08:56:49										
KRNT	TX	KRNT	Non-ded.Input Tax KR	Ni.abzugsf.Vorst. KR	2017.07.06 08:56:49										
KROT	TX	KROT	Output Tax KR	Ausgangssteuer KR	2017.07.06 08:56:49										
KRPP	TX	KRPP	Payment by proxy KR	Zahlung d. Proxy KR	2017.07.06 08:56:49										
MAR	TX	MAR	A/P Maritime	KR Maritime	2017.07.06 08:56:49										
MAR1	TX	MAR1	A/R Maritime	DE Maritime	2017.07.06 08:56:49										
MLXA	TX	MLXA	Tax Credit	Steuer Haben	2017.07.06 08:56:49										
MLXV	TX	MLXV	Tax Debit	Steuer Soll	2017.07.06 08:56:49										
MSKA	TX	MSKA	Output Tax SK	Ausgangssteuer SK	2017.07.06 08:56:49										
MSKI	TX	MSKI	Input Tax (SK)	Vorsteuer (SK)	2017.07.06 08:56:49										
MSKO	TX	MSKO	Output Tax (SK)	Ausgangssteuer (SK)	2017.07.06 08:56:49										
MSKV	TX	MSKV	Input Tax SK	Vorsteuer SK	2017.07.06 08:56:49										
MW01	TX	MW01	Tax Trigger RU	Steuerauslöser RU	2017.07.06 08:56:49										
MWAA	TX	MWAA	Clearing Tax	Ausgleichssteuer	2017.07.06 08:56:49										
MWAI	TX	MWAI	Round.Up Output Tax	Ausgangsst. aufrund.	2017.07.06 08:56:49										
MWAL	TX	MWAL	Sumptuary Tax	Luxussteuer	2017.07.06 08:56:49										
MWAN	TX	MWAN	N.d. Output Tax	Ausgangsst.n.abz.	2017.07.06 08:56:49										
MWAR	TX	MWAR	Round.Down OutputTax	Ausgangsst. abrunden	2017.07.06 08:56:49										
MWAS	TX	MWAS	Output Tax	Ausgangssteuer	2017.07.06 08:56:49										
MWCN	TX	MWCN	Flat-rate Tax China	Pauschalsteuer China	2017.07.06 08:56:49										
MWNI	TX	MWNI	N.d.input tax	Nicht abz. Vorsteuer	2017.07.06 08:56:49										
