LEGACY_FUNCTIONAL_LOCATION	FUNCTIONAL_LOCATION	FUNCTIONAL_LOCATION_TXT_GBL	FUNCTIONAL_LOCATION_TXT_LCL	DI_TIMESTAMP											
1710-SPA-SAC-PLAR2-INLT-SF01	1710-SPA-SAC-PLAR2-INLT-SF01	Compr2 - Inlet Filter	Kompressor 2 - Einlassfilter	2017.07.06 08:56:49											
1710-SPA-SAC-PLAR2-INLT-SMIV	1710-SPA-SAC-PLAR2-INLT-SMIV	Compr2 - Inlet:Manual Isolation Valve	Kompressor 2 - Einl.: man. Absperrventil	2017.07.06 08:56:49											
1710-SPA-SAC-PLAR2-INLT-SP01	1710-SPA-SAC-PLAR2-INLT-SP01	Compr2 - Inlet Pipe	Kompressor 2 - Einlassrohr	2017.07.06 08:56:49											
1710-SPA-SAC-PLAR2-NDBA	1710-SPA-SAC-PLAR2-NDBA	Compr2 - NDE side Bearing Assembly	Kompressor 2 - B-seitige Lagerung	2017.07.06 08:56:49											
1710-SPA-SAC-PLAR3	1710-SPA-SAC-PLAR3	Compressor # 3	Kompressor # 3	2017.07.06 08:56:49											
1710-SPA-SAC-PLAR3-CGB1	1710-SPA-SAC-PLAR3-CGB1	Compr3 - Gear Box	Kompressor 3 - Getriebe	2017.07.06 08:56:49											
1710-SPA-SAC-PLAR3-CLR1	1710-SPA-SAC-PLAR3-CLR1	Compr3 - Air Cooler 1	Kompressor 3 - Luftkühler 1	2017.07.06 08:56:49											
1710-SPA-SAC-PLAR3-CLR2	1710-SPA-SAC-PLAR3-CLR2	Compr3 - Air Cooler 2	Kompressor 3 - Luftkühler 2	2017.07.06 08:56:49											
1710-SPA-SAC-PLAR3-CLR3	1710-SPA-SAC-PLAR3-CLR3	Compr3 - Air Cooler 3	Kompressor 3 - Luftkühler 3	2017.07.06 08:56:49											
1710-SPA-SAC-PLAR3-CMT1	1710-SPA-SAC-PLAR3-CMT1	Compr3 - Motor	Kompressor 3 - Motor	2017.07.06 08:56:49											
1710-SPA-SAC-PLAR3-CST1	1710-SPA-SAC-PLAR3-CST1	Compr3 - Stage 1	Kompressor 3 - Stufe 1	2017.07.06 08:56:49											
1710-SPA-SAC-PLAR3-CST2	1710-SPA-SAC-PLAR3-CST2	Compr3 - Stage 2	Kompressor 3 - Stufe 2	2017.07.06 08:56:49											
1710-SPA-SAC-PLAR3-CST3	1710-SPA-SAC-PLAR3-CST3	Compr3 - Stage 3	Kompressor 3 - Stufe 3	2017.07.06 08:56:49											
1710-SPA-SAC-PLAR3-INLT	1710-SPA-SAC-PLAR3-INLT	Compr3 - Inlet	Kompressor 3 - Einlass	2017.07.06 08:56:49											
1710-SPA-SAC-PLAR3-INLT-SF01	1710-SPA-SAC-PLAR3-INLT-SF01	Compr3 - Inlet Filter	Kompressor 3 - Einlassfilter	2017.07.06 08:56:49											
1710-SPA-SAC-PLAR3-DCTV	1710-SPA-SAC-PLAR3-DCTV	Compr3 - Discharge: Control Valve	Kompressor 3 - Ausgang: Regelventil	2017.07.06 08:56:49											
1710-SPA-SAC-PLAR3-DMIV	1710-SPA-SAC-PLAR3-DMIV	Compr3 - Discharge Manual Isolat. Valve	Kompressor 3 - Ausg.: man. Absperrventil	2017.07.06 08:56:49											
1710-SPA-SAC-PLAR3-DSBA	1710-SPA-SAC-PLAR3-DSBA	Compr3 - DE side Bearing Assembly	Kompressor 3 - A-seitige Lagerung	2017.07.06 08:56:49											
1710-SPA-SAC-PLAR3-INLT-SCTV	1710-SPA-SAC-PLAR3-INLT-SCTV	Compr3 - Inlet: Control Valve	Kompressor 3 - Einlass: Regelventil	2017.07.06 08:56:49											
1710-SPA-SAC-PLAR3-INLT-SMIV	1710-SPA-SAC-PLAR3-INLT-SMIV	Compr3 - Inlet:Manual Isolation Valve	Kompressor 3 - Einl.: man. Absperrventil	2017.07.06 08:56:49											
1710-SPA-SAC-PLAR3-INLT-SP01	1710-SPA-SAC-PLAR3-INLT-SP01	Compr3 - Inlet Pipe	Kompressor 3 - Einlassrohr	2017.07.06 08:56:49											
1710-SPA-SAC-PLAR3-NDBA	1710-SPA-SAC-PLAR3-NDBA	Compr3 - NDE side Bearing Assembly	Kompressor 3 - B-seitige Lagerung	2017.07.06 08:56:49											
1710-SPA-SAC-PLAR4	1710-SPA-SAC-PLAR4	Compressor # 4	Kompressor # 4	2017.07.06 08:56:49											
1710-SPA-SAC-PLAR4-CGB1	1710-SPA-SAC-PLAR4-CGB1	Compr4 - Gear Box	Kompressor 4 - Getriebe	2017.07.06 08:56:49											
1710-SPA-SAC-PLAR4-CLR1	1710-SPA-SAC-PLAR4-CLR1	Compr4 - Air Cooler 1	Kompressor 4 - Luftkühler 1	2017.07.06 08:56:49											
1710-SPA-SAC-PLAR4-CLR2	1710-SPA-SAC-PLAR4-CLR2	Compr4 - Air Cooler 2	Kompressor 4 - Luftkühler 2	2017.07.06 08:56:49											
1710-SPA-SAC-PLAR4-CLR3	1710-SPA-SAC-PLAR4-CLR3	Compr4 - Air Cooler 3	Kompressor 4 - Luftkühler 3	2017.07.06 08:56:49											
1710-SPA-SAC-PLAR4-CMT1	1710-SPA-SAC-PLAR4-CMT1	Compr4 - Motor	Kompressor 4 - Motor	2017.07.06 08:56:49											
1710-SPA-SAC-PLAR4-CST1	1710-SPA-SAC-PLAR4-CST1	Compr4 - Stage 1	Kompressor 4 - Stufe 1	2017.07.06 08:56:49											
1710-SPA-SAC-PLAR4-CST2	1710-SPA-SAC-PLAR4-CST2	Compr4 - Stage 2	Kompressor 4 - Stufe 2	2017.07.06 08:56:49											
1710-SPA-SAC-PLAR4-CST3	1710-SPA-SAC-PLAR4-CST3	Compr4 - Stage 3	Kompressor 4 - Stufe 3	2017.07.06 08:56:49											
1710-SPA-SAC-PLAR4-DCTV	1710-SPA-SAC-PLAR4-DCTV	Compr4 - Discharge: Control Valve	Kompressor 4 - Ausgang: Regelventil	2017.07.06 08:56:49											
3001-137	3001-137	Cooling Tower Fan		2017.07.06 08:56:49											
3001-138	3001-138	Cooling Tower Fan		2017.07.06 08:56:49											
3001-139	3001-139	Compr1 - Inlet: Control Valve		2017.07.06 08:56:49											
3001-140	3001-140	Cooling Tower Fan		2017.07.06 08:56:49											
3001-141	3001-141	Compr1 - Inlet: Control Valve		2017.07.06 08:56:49											
1710-SPA-SAC-PLAR4-DMIV	1710-SPA-SAC-PLAR4-DMIV	Compr4 - Discharge Manual Isolat. Valve	Kompressor 4 - Ausg.: man. Absperrventil	2017.07.06 08:56:49											
1710-SPA-SAC-PLAR4-DSBA	1710-SPA-SAC-PLAR4-DSBA	Compr4 - DE side Bearing Assembly	Kompressor 4 - A-seitige Lagerung	2017.07.06 08:56:49											
1710-SPA-SAC-PLAR4-INLT	1710-SPA-SAC-PLAR4-INLT	Compr4 - Inlet	Kompressor 4 - Einlass	2017.07.06 08:56:49											
1710-SPA-SAC-PLAR4-INLT-SCTV	1710-SPA-SAC-PLAR4-INLT-SCTV	Compr4 - Inlet: Control Valve	Kompressor 4 - Einlass: Regelventil	2017.07.06 08:56:49											
1710-SPA-SAC-PLAR4-INLT-SF01	1710-SPA-SAC-PLAR4-INLT-SF01	Compr4 - Inlet Filter	Kompressor 4 - Einlassfilter	2017.07.06 08:56:49											
1710-SPA-SAC-PLAR4-INLT-SMIV	1710-SPA-SAC-PLAR4-INLT-SMIV	Compr4 - Inlet:Manual Isolation Valve	Kompressor 4 - Einl.: man. Absperrventil	2017.07.06 08:56:49											
1710-SPA-SAC-PLAR4-INLT-SP01	1710-SPA-SAC-PLAR4-INLT-SP01	Compr4 - Inlet Pipe	Kompressor 4 - Einlassrohr	2017.07.06 08:56:49											
1710-SPA-SAC-PLAR4-NDBA	1710-SPA-SAC-PLAR4-NDBA	Compr4 - NDE side Bearing Assembly	Kompressor 4 - B-seitige Lagerung	2017.07.06 08:56:49											
3001-120	3001-120	Cooling Tower Fan		2017.07.06 08:56:49											
3001-121	3001-121	Compr1 - Inlet: Control Valve		2017.07.06 08:56:49											
3001-122	3001-122	Cooling Tower Fan		2017.07.06 08:56:49											
3001-123	3001-123	Compr1 - Inlet: Control Valve		2017.07.06 08:56:49											
3001-124	3001-124	Cooling Tower Fan		2017.07.06 08:56:49											
3001-125	3001-125	Compr1 - Inlet: Control Valve		2017.07.06 08:56:49											
3001-126	3001-126	Cooling Tower Fan		2017.07.06 08:56:49											
3001-127	3001-127	Compr1 - Inlet: Control Valve		2017.07.06 08:56:49											
3001-128	3001-128	Cooling Tower Fan		2017.07.06 08:56:49											
3001-129	3001-129	Cooling Tower Fan		2017.07.06 08:56:49											
3001-130	3001-130	Compr1 - Inlet: Control Valve		2017.07.06 08:56:49											
3001-131	3001-131	Cooling Tower Fan		2017.07.06 08:56:49											
3001-132	3001-132	Compr1 - Inlet: Control Valve		2017.07.06 08:56:49											
3001-133	3001-133	Cooling Tower Fan		2017.07.06 08:56:49											
3001-134	3001-134	Compr1 - Inlet: Control Valve		2017.07.06 08:56:49											
3001-135	3001-135	Cooling Tower Fan		2017.07.06 08:56:49											
3001-136	3001-136	Compr1 - Inlet: Control Valve		2017.07.06 08:56:49											
3001-142	3001-142	Cooling Tower Fan		2017.07.06 08:56:49											
3001-143	3001-143	Compr1 - Inlet: Control Valve		2017.07.06 08:56:49											
3001-144	3001-144	Cooling Tower Fan		2017.07.06 08:56:49											
3001-145	3001-145	Compr1 - Inlet: Control Valve		2017.07.06 08:56:49											
3001-146	3001-146	Cooling Tower Fan		2017.07.06 08:56:49											
4001-100	4001-100	Cooling Tower Fan		2017.07.06 08:56:49											
4001-101	4001-101	Compr1 - Inlet: Control Valve		2017.07.06 08:56:49											
4001-102	4001-102	Cooling Tower Fan		2017.07.06 08:56:49											
4001-103	4001-103	Compr1 - Inlet: Control Valve		2017.07.06 08:56:49											
4001-104	4001-104	Cooling Tower Fan		2017.07.06 08:56:49											
4001-105	4001-105	Compr1 - Inlet: Control Valve		2017.07.06 08:56:49											
4001-106	4001-106	Cooling Tower Fan		2017.07.06 08:56:49											
4001-107	4001-107	Compr1 - Inlet: Control Valve		2017.07.06 08:56:49											
4001-108	4001-108	Cooling Tower Fan		2017.07.06 08:56:49											
