LEGACY_COST_ELEMENT	COST_ELEMENT	CONTROLLING_AREA	VALID_TO_DATE	COST_ELEMENT_TXT_GBL	COST_ELEMENT_TXT_LCL	DI_TIMESTAMP									
0063005000	0063005000	A000	99991231	Office/Building Rent	Mieten Pachten Erbbauzinsen	2017.07.14 01:39:20									
0063006000	0063006000	A000	99991231	Telephone and other Communication	Telefon und Sonstiges	2017.07.14 01:39:20									
0063007000	0063007000	A000	99991231	Fax and Internet	Fax und Internet	2017.07.14 01:39:20									
0063008000	0063008000	A000	99991231	Building Periodic Service	Gebäude - periodischer Service	2017.07.14 01:39:20									
0063009000	0063009000	A000	99991231	Leasing Expense	Leasingaufwand	2017.07.14 01:39:20									
0064001000	0064001000	A000	99991231	Depreciation Expense - Buildings	Abschreibungen auf Grundstücke und Gebäu	2017.07.14 01:39:20									
0064002000	0064002000	A000	99991231	Depreciation Expense - Machinery & Equip	Abschreibungen auf technische Anlagen u.	2017.07.14 01:39:20									
0064003000	0064003000	A000	99991231	Depreciation Expense - Building Improvem	Abschreibungen auf Gebäudeeinrichtungen	2017.07.14 01:39:20									
0064004000	0064004000	A000	99991231	Depreciation Expense - Motor Vehicles	Abschreibungen auf Fahrzeuge	2017.07.14 01:39:20									
0064005000	0064005000	A000	99991231	Depreciation Expense - Office Equipment	Abschreib. auf Betriebs- und Geschäftsau	2017.07.14 01:39:20									
0064006000	0064006000	A000	99991231	Depreciation Expense - Furniture	Abschreibungen auf Möbel	2017.07.14 01:39:20									
0064030000	0064030000	A000	99991231	Unplanned Depreciation Expense	Aufwand für außerplanmäßige Abschreibung	2017.07.14 01:39:20									
0064043000	0064043000	A000	99991231	Amortization Expense - Goodwill	Abschreibungen auf Geschäfts- oder Firme	2017.07.14 01:39:20									
0064050000	0064050000	A000	99991231	Estimated Depreciation (CO)	Kalkulatorische Abschreibungen (Ermittlu	2017.07.14 01:39:20									
0075009900	0075009900	A000	99991231	Other Company Taxes	Sonstige betriebliche Steuern	2017.07.14 01:39:20									
0080000002	0080000002	A000	99991231	test account		2017.07.14 01:39:20									
0092100000	0092100000	A000	99991231	Settlement Technical RA	Abrechnung technisch - Ergebnisermittlun	2017.07.14 01:39:20									
0094225000	0094225000	A000	99991231	COPA -Sales. Overhead	CO-PA Vertrieb Gemeinkosten	2017.07.14 01:39:20									
0094226000	0094226000	A000	99991231	COPA-Non-Operating Expense	CO-PA - nicht betriebliche Aufwendungen	2017.07.14 01:39:20									
0094227000	0094227000	A000	99991231	COPA-Non-Operating Income	CO-PA nicht betriebliche Erträge	2017.07.14 01:39:20									
0094228000	0094228000	A000	99991231	COPA -Taxes	CO-PA - Steuern	2017.07.14 01:39:20									
0094229000	0094229000	A000	99991231	COPA -cash Discount	CO-PA - Skonto	2017.07.14 01:39:20									
0094229900	0094229900	A000	99991231	COPA -consulting overhead	CO-PA - Beratungsgemeinkosten	2017.07.14 01:39:20									
0094301000	0094301000	A000	99991231	Machine hours 1	Maschinenstunden 1	2017.07.14 01:39:20									
0094302000	0094302000	A000	99991231	Machine hours 2	Maschinenstunden 2	2017.07.14 01:39:20									
0094303000	0094303000	A000	99991231	Setup Production	Rüsten	2017.07.14 01:39:20									
0094304000	0094304000	A000	99991231	Water	Wasser	2017.07.14 01:39:20									
0094305000	0094305000	A000	99991231	Industry Effluent	Industrieabwasser	2017.07.14 01:39:20									
0094306000	0094306000	A000	99991231	Environmental	Umweltschutz	2017.07.14 01:39:20									
0094307000	0094307000	A000	99991231	Internal Transport	Innerbetrieblicher Transport	2017.07.14 01:39:20									
0094308000	0094308000	A000	99991231	Consulting	Beratung	2017.07.14 01:39:20									
0094308010	0094308010	A000	99991231	Training	Training	2017.07.14 01:39:20									
0094308020	0094308020	A000	99991231	QualityReview	Qualitätsprüfung	2017.07.14 01:39:20									
0094309000	0094309000	A000	99991231	Development	Entwicklung	2017.07.14 01:39:20									
0094310000	0094310000	A000	99991231	QM Control	Q-Prüfung	2017.07.14 01:39:20									
0052044000	0052044000	A000	99991231	Loss Price Differences - Material Ledger	Abgrenzungskonto Material Ledger Fremdma	2017.07.14 01:39:20									
0052045000	0052045000	A000	99991231	Loss Price Differences own Products (PRK	Aufwand aus Preisdifferenzen Eigenerzeug	2017.07.14 01:39:20									
0052046000	0052046000	A000	99991231	Loss Price Diff fm Lower Lev.own Mats ML	Abgrenzungskonto Material Ledger Eigenma	2017.07.14 01:39:20									
0052070000	0052070000	A000	99991231	Loss from Production Variances	Aufwand aus Preisdifferenzen Eigenerzeug	2017.07.14 01:39:20									
0052071000	0052071000	A000	99991231	Price Difference PRIV	Preisdifferenz PRIV	2017.07.14 01:39:20									
0052072000	0052072000	A000	99991231	Price Difference QTYV	Preisdifferenz QTYV	2017.07.14 01:39:20									
0052544000	0052544000	A000	99991231	Gain Price Differences - Material Ledger	Ertrag Preisdifferenzen aus Material Led	2017.07.14 01:39:20									
0052545000	0052545000	A000	99991231	Posterior Real Rate Activity Allocation	LeistVerrechnung Leistungstarif Perioden	2017.07.14 01:39:20									
0052551000	0052551000	A000	99991231	Gain Consumption of Consign. Mat (Raw &	Ertrag aus Konsignationsverbrauch (Rohst	2017.07.14 01:39:20									
0052552000	0052552000	A000	99991231	Gain Consumption of Consign. Mat (SF & F	Ertrag aus Verbrauch Konsignations-Mat.	2017.07.14 01:39:20									
0052560000	0052560000	A000	99991231	Gain Small Price Difference Invoices Rec	Ertrag aus Kleindifferenzen Rechnungsein	2017.07.14 01:39:20									
0052075000	0052075000	A000	99991231	Price Difference MXPV	Preisdifferenz MXPV	2017.07.14 01:39:20									
0052076000	0052076000	A000	99991231	Price Difference OPPV	Preisdifferenz OPPV	2017.07.14 01:39:20									
0052077000	0052077000	A000	99991231	Price Difference LSFV	Preisdifferenz LSFV	2017.07.14 01:39:20									
0052078000	0052078000	A000	99991231	Price Difference REMV	Preisdifferenz REMV	2017.07.14 01:39:20									
0052079000	0052079000	A000	99991231	Price Difference SCRP	Preisdifferenz SCRP	2017.07.14 01:39:20									
0052080000	0052080000	A000	99991231	Loss from allowed Differences GL Account	Aufwand aus tol. Differenzen Sachkontena	2017.07.14 01:39:20									
0052501000	0052501000	A000	99991231	Gain Inventory Variance (Raw & Trade)	Ertrag aus Inventur-Differenzen (Roh/Han	2017.07.14 01:39:20									
0052503000	0052503000	A000	99991231	Gain Inventory Variance (SF & Finish Goo	Ertrag aus Inventur-Differenzen (Halbf/F	2017.07.14 01:39:20									
0052511000	0052511000	A000	99991231	Gain Inventory Transfer (Raw & Trade)	Ertrag Bestandsumlagerung (Roh/Handel)	2017.07.14 01:39:20									
0052513000	0052513000	A000	99991231	Gain Inventory Transfer (SF & Finish Goo	Ertrag aus Umlagerung (Halbfabr./Fertige	2017.07.14 01:39:20									
0052521000	0052521000	A000	99991231	Gain Consumption for Quality Control (Ra	Ertrag Verbrauch Qualitätskontrolle (Roh	2017.07.14 01:39:20									
0052523000	0052523000	A000	99991231	Gain Consumption for QM (SF & Finish Goo	Ertrag aus Verbrauch für QM (Halbfabr./F	2017.07.14 01:39:20									
0052530000	0052530000	A000	99991231	Gain from Revaluation	Ertrag aus Neubewertung	2017.07.14 01:39:20									
0052531000	0052531000	A000	99991231	Gain from Valuation of External Products	Ertrag aus Umbewertung Fremderzeugnisse	2017.07.14 01:39:20									
0052532000	0052532000	A000	99991231	Gain from Valuation own Products	Ertrag aus Umbewertung von Eigenerzeugni	2017.07.14 01:39:20									
0052541000	0052541000	A000	99991231	Gain Price Variance (PRD)	Ertrag Preisabw. (Ware)	2017.07.14 01:39:20									
0092101000	0092101000	A000	99991231	Settl.Material	Abrechnung Materialkosten	2017.07.14 01:39:20									
0092101500	0092101500	A000	99991231	Settl. Rework	Abrechnung Nacharbeit	2017.07.14 01:39:20									
0092101800	0092101800	A000	99991231	Settlement R&D	Abrechnung Forschung und Entwicklung	2017.07.14 01:39:20									
0092101900	0092101900	A000	99991231	Settlement Sales Order	Abrechnung Kundenauftrag	2017.07.14 01:39:20									
0092102000	0092102000	A000	99991231	Settlement Third Party Material	Abrechnung Streckenmaterial	2017.07.14 01:39:20									
0092103000	0092103000	A000	99991231	Settlement Internal Activity	Abrechnung interne Kosten	2017.07.14 01:39:20									
0092104000	0092104000	A000	99991231	Settlement External Service	Abrechnung externer Service	2017.07.14 01:39:20									
0092105000	0092105000	A000	99991231	Settlement Service Revenue	Abrechnung Serviceerlöse	2017.07.14 01:39:20									
0092105100	0092105100	A000	99991231	Personnel costs	Personalkosten	2017.07.14 01:39:20									
0044001000	0044001000	A000	99991231	Sales Rebates	Kundenboni	2017.07.14 01:39:20									
0092105200	0092105200	A000	99991231	Spare/Service/Ext Material con	Verbrauch Ersatzteile/Leistungen/Fremdma	2017.07.14 01:39:20									
0044002000	0044002000	A000	99991231	Sales Discounts - Domestic	Kundenskonti - Inland	2017.07.14 01:39:20									
0044002100	0044002100	A000	99991231	Sales Discounts - Foreign	Kundenskonti - Ausland	2017.07.14 01:39:20									
0044002200	0044002200	A000	99991231	Sales Discounts - Affiliated	Kundenskonti - Verbundene	2017.07.14 01:39:20									
0044003000	0044003000	A000	99991231	Customer Sales Deduction - Domestic	Kunden Erlösschmälerungen - Inland	2017.07.14 01:39:20									
0044003100	0044003100	A000	99991231	Customer Sales Deduction - Foreign	Kunden Erlösschmälerungen - Ausland	2017.07.14 01:39:20									
0044004000	0044004000	A000	99991231	Sales Deduction - Material	Erlösschmälerung - Material	2017.07.14 01:39:20									
0044005000	0044005000	A000	99991231	Free Goods and Discount in kind	Naturalrabatte	2017.07.14 01:39:20									
0044006000	0044006000	A000	99991231	Sales Deduction - Menge	Erlösschmälerung - Menge	2017.07.14 01:39:20									
0064007000	0064007000	A000	99991231	Depreciation Expense - Computer Hardware	Abschreibungsaufwand - Computer-Hardware	2017.07.14 01:39:20									
0064008000	0064008000	A000	99991231	Depreciation Expense - Computer Software	Abschreibungen auf Computer-Software	2017.07.14 01:39:20									
0064020000	0064020000	A000	99991231	Depreciation Expense - Low Value Assets	Abschreibungen auf Geringwertige Wirtsch	2017.07.14 01:39:20									
