LEGACY_CONDITION_TYPE	CONDITION_TYPE	APPLICATION	USAGE_OF_COND_TABLE	CONDITION_TYPE_TXT_GBL	CONDITION_TYPE_TXT_LCL	DI_TIMESTAMP									
FVA1	FVA1	M	A	Freight/Value 1	Fracht/Wert 1	2018.06.19 05:33:47									
GRWR	GRWR	M	A	Statistical Value	Statistischer Wert	2018.06.19 05:33:47									
GRWR	GRWR	V	A	Statistical value	Grenzübergangswert	2018.06.19 05:33:47									
GST	GST	TX	A	A/P GST	KR GST	2018.06.19 05:33:47									
GST1	GST1	TX	A	A/R GST	KR GST	2018.06.19 05:33:47									
GSTS	GSTS	TX	A	A/P GST self assess	KR GST Selbstveranl.	2018.06.19 05:33:47									
GTI1	GTI1	TX	A	A/P GST	KR GST	2018.06.19 05:33:47									
GTI2	GTI2	TX	A	A/P GST	KR GST	2018.06.19 05:33:47									
GTO0	GTO0	TX	A	A/R GST	KR GST	2018.06.19 05:33:47									
GTO1	GTO1	TX	A	A/R GST	KR GST	2018.06.19 05:33:47									
GTO2	GTO2	TX	A	A/R GST	KR GST	2018.06.19 05:33:47									
GWLB	GWLB	M	A	Stat. Val. LB-Comp.	Stat. Wrt LB-Kompon.	2018.06.19 05:33:47									
HUV1	HUV1	TX	A	Deductable %	Abzugsfähig %	2018.06.19 05:33:47									
HUV2	HUV2	TX	A	Non-deductable %	Nicht abzugsfähig %	2018.06.19 05:33:47									
HUVN	HUVN	TX	A	Non-deductable %	Nicht abzugsfähig %	2018.06.19 05:33:47									
HUVS	HUVS	TX	A	Deductable %	Abzugsfähig %	2018.06.19 05:33:47									
IC1C	IC1C	TX	A	ICMS Ind.Clearing	ICMS Kz. Verrechnung	2018.06.19 05:33:47									
IC1O	IC1O	TX	A	ICMS Ind.Clear.Off.	ICMS Kz.Verrechn.Abg	2018.06.19 05:33:47									
ICD0	ICD0	TX	A	ICMS DIFAL Pri	ICMS DIFAL Pri	2018.06.19 05:33:47									
ICD1	ICD1	TX	A	ICMS DIFAL Asset	ICMS DIFAL Anlage	2018.06.19 05:33:47									
ICD2	ICD2	TX	A	ICMS DIFAL Asset Off	ICMS DIFAL AnlageAbg	2018.06.19 05:33:47									
ICD3	ICD3	TX	A	ICMS DIFAL/CIAP/Asse	ICMS DIFAL/CIAP/Anl.	2018.06.19 05:33:47									
ICDF	ICDF	TX	A	ICMS Deductibl-DIFAL	ICMS Abzugsf.-DIFAL	2018.06.19 05:33:47									
ICM0	ICM0	TX	A	ICMS NF Zero Line	ICMS NF Nullzeile	2018.06.19 05:33:47									
ICM1	ICM1	TX	A	ICMS Industr.    In	ICMS Branche    Eing	2018.06.19 05:33:47									
ICM2	ICM2	TX	A	ICMS Consumption In	ICMS Verbrauch  Eing	2018.06.19 05:33:47									
ICM3	ICM3	TX	A	ICMS from SD    Out	ICMS von SD     Ausg	2018.06.19 05:33:47									
ICM4	ICM4	TX	A	ICMS Consum Outgoing	ICMS Verbr. Ausgeh.	2018.06.19 05:33:47									
ICMF	ICMF	TX	A	ICMS S.T. fr. offset	ICMS S.T. Fr. Abgr.	2018.06.19 05:33:47									
ICML	ICML	TX	A	ICMS DIFAL Offs. Out	ICMS DIFAL Abgr. Aus	2018.06.19 05:33:47									
ICMM	ICMM	TX	A	ICMS DIFAL Out	ICMS DIFAL Ausg.	2018.06.19 05:33:47									
ICMO	ICMO	TX	A	ICMS Ind.Clear.Off.	ICMS Kz.Verrechn.Abg	2018.06.19 05:33:47									
ICMP	ICMP	TX	A	ICMS DIFAL Inv. Off.	ICMS DIFAL Inv. Abg.	2018.06.19 05:33:47									
ICMT	ICMT	TX	A	ICMS DIFAL Investmen	ICMS DIFAL Invest.	2018.06.19 05:33:47									
ICMV	ICMV	TX	A	ICMS DIFAL Con/Asset	ICMS DIFAL Kon/Anl.	2018.06.19 05:33:47									
ICMX	ICMX	TX	A	ICMS Active	ICMS Aktiv	2018.06.19 05:33:47									
ICMY	ICMY	TX	A	ICMS Active	ICMS Aktiv	2018.06.19 05:33:47									
ICMZ	ICMZ	TX	A	ICMS Active	ICMS Aktiv	2018.06.19 05:33:47									
ICN3	ICN3	TX	A	COFINS Normal Tax	COFINS Normale Steu.	2018.06.19 05:33:47									
ICO1	ICO1	TX	A	ICMS Compl. Transfer	ICMS Vollumbuchung	2018.06.19 05:33:47									
ICO2	ICO2	TX	A	ICMS Compl. Tra Offs	ICMS Vollumbuch. Ab.	2018.06.19 05:33:47									
ICO3	ICO3	TX	A	ICMS Compl. NVV	ICMS Voll. NVV	2018.06.19 05:33:47									
ICO4	ICO4	TX	A	ICMS Compl. NVV off	ICMS Voll. NVV Abgr.	2018.06.19 05:33:47									
ICOA	ICOA	TX	A	COFINS Normal PO/GR	COFINS Normal PO/GR	2018.06.19 05:33:47									
ICOF	ICOF	TX	A	COFINS deductible	COFINS abzugsfähig	2018.06.19 05:33:47									
ICON	ICON	TX	A	COFINS Normal Tax	COFINS Normale Steu.	2018.06.19 05:33:47									
ICOO	ICOO	TX	A	COFINS OffsetTaxIncl	COFINS Abgr.St.inkl.	2018.06.19 05:33:47									
ICOP	ICOP	TX	A	ICMS complement	ICMS-Ergänzung	2018.06.19 05:33:47									
ICOQ	ICOQ	TX	A	COFINS WHT Accum.	COFINS QSt kumuliert	2018.06.19 05:33:47									
ICOR	ICOR	TX	A	COFINS Diff Resale	COFINS Diff.Wiederv.	2018.06.19 05:33:47									
ICOS	ICOS	TX	A	COFINS Normal PO/GR	COFINS Normal PO/GR	2018.06.19 05:33:47									
ICOT	ICOT	TX	A	STO-ICMS Complement	STO-ICMS-Ergänzung	2018.06.19 05:33:47									
ICOU	ICOU	TX	A	Cofins IV Non Deduct	COFINS IV n.abzugsf.	2018.06.19 05:33:47									
ICOV	ICOV	TX	A	Cofins Offset	COFINS-Abgrenzung	2018.06.19 05:33:47									
ICOW	ICOW	TX	A	COFINS WHT	COFINS QSt	2018.06.19 05:33:47									
ICOX	ICOX	TX	A	ICMS complement 100	ICMS-Ergänzung 100	2018.06.19 05:33:47									
ICOZ	ICOZ	TX	A	COFINS WHT Offset	COFINS QSt Abgrenz.	2018.06.19 05:33:47									
ICS1	ICS1	TX	A	Sub.Tributaria   In	Sub.Tributaria   Ein	2018.06.19 05:33:47									
ICS2	ICS2	TX	A	S.T. Consumption In	S.T. Verbrauch   Ein	2018.06.19 05:33:47									
ICS3	ICS3	TX	A	Sub.Tributaria  Out	Sub.Tributaria  Aus	2018.06.19 05:33:47									
ICS4	ICS4	TX	A	S.T. Indus Not in NF	S.T. Indus ni. in NF	2018.06.19 05:33:47									
ICS5	ICS5	TX	A	S.T. Cons. Not in NF	S.T. Verb. ni. in NF	2018.06.19 05:33:47									
ICS6	ICS6	TX	A	S.T. Cons.Offset	S.T. Verbr. Abgrenz.	2018.06.19 05:33:47									
ICS7	ICS7	TX	A	S.T. Cons. Not in NF	S.T. Verb. ni. in NF	2018.06.19 05:33:47									
ICS8	ICS8	TX	A	S.T. Cons. Not in NF	S.T. Verb. ni. in NF	2018.06.19 05:33:47									
ICS9	ICS9	TX	A	S.T. Consumption In	S.T. Verbrauch   Ein	2018.06.19 05:33:47									
ICSQ	ICSQ	TX	A	CSLL WHT  - Accum.	CSLL QSt  - Kumul.	2018.06.19 05:33:47									
ICSW	ICSW	TX	A	CSLL WHT	CSLL QSt	2018.06.19 05:33:47									
ICSZ	ICSZ	TX	A	CSLL WHT Offset	CSLL QSt Abgrenzung	2018.06.19 05:33:47									
ICW3	ICW3	TX	A	COFINS WHT SD	COFINS QSt SD	2018.06.19 05:33:47									
ICW5	ICW5	TX	A	COFINS WHT SD-Accum.	COFINS QSt SD-Kumul.	2018.06.19 05:33:47									
ICZ3	ICZ3	TX	A	COFINS WHT Offset SD	COFINS QSt Abgr. SD	2018.06.19 05:33:47									
ICZF	ICZF	TX	A	ICMS Reverse (Z.F.)	ICMS Storno (Z.F.)	2018.06.19 05:33:47									
IFR1	IFR1	TX	A	ICMS on freight  In	ICMS auf Fracht  Ein	2018.06.19 05:33:47									
IFR3	IFR3	TX	A	ICMS on freight  Out	ICMS auf Fracht  Aus	2018.06.19 05:33:47									
IFS1	IFS1	TX	A	ICMS ST freight  In	ICMS ST Fracht   Ein	2018.06.19 05:33:47									
IFS3	IFS3	TX	A	ICMS ST freight  Out	ICMS ST Fracht   Aus	2018.06.19 05:33:47									
IGEQ	IGEQ	TX	A	General WHT-Accum.	Allgem. QSt-Kumul.	2018.06.19 05:33:47									
IGEW	IGEW	TX	A	General WHT	Allgemein QSt	2018.06.19 05:33:47									
IGEZ	IGEZ	TX	A	General WHT Offset	Allgem. QSt-Abgrenz.	2018.06.19 05:33:47									
IGW3	IGW3	TX	A	General WHT SD	Allgemeine QSt SD	2018.06.19 05:33:47									
IGW5	IGW5	TX	A	General WHT SD-Accum	Allgem. QSt SD-Kumul	2018.06.19 05:33:47									
IGZ3	IGZ3	TX	A	Genera WHT Offset SD	Allgem. QSt Abgr. SD	2018.06.19 05:33:47									
IIRQ	IIRQ	TX	A	IR WHT-Accum.	IR QSt-Kumul.	2018.06.19 05:33:47									
IIRW	IIRW	TX	A	IR WHT	IR QSt	2018.06.19 05:33:47									
IIRZ	IIRZ	TX	A	IR WHT Offset	IR QSt Abgrenzung	2018.06.19 05:33:47									
INSS	INSS	TX	A	INSS Incoming	INSS Eingang	2018.06.19 05:33:47									
INSX	INSX	TX	A	INSS offset (100-)	INSS Abgrenz. (100-)	2018.06.19 05:33:47									
IP10	IP10	TX	A	IPI Null Values NF	IPI Null Werte NF	2018.06.19 05:33:47									
IP11	IP11	TX	A	IPI  Industr.    In	IPI  Branche     Ein	2018.06.19 05:33:47									
IP12	IP12	TX	A	IPI  Consumption In	IPI  Verbrauch   Ein	2018.06.19 05:33:47									
IP13	IP13	TX	A	IPI  Consumption In	IPI  Verbrauch   Ein	2018.06.19 05:33:47									
IP1C	IP1C	TX	A	IPI  Ind.Clearing	IPI  Kz. Verrechn.	2018.06.19 05:33:47									
IP1O	IP1O	TX	A	IPI  Ind.Clear.Off.	IPI  Kz. Verr. Abgr.	2018.06.19 05:33:47									
IPI0	IPI0	TX	A	IPI NF Zero Line	IPI NF Nullzeile	2018.06.19 05:33:47									
IPI1	IPI1	TX	A	IPI  Industr.    In	IPI  Branche     Ein	2018.06.19 05:33:47									
IPI2	IPI2	TX	A	IPI  Consumption In	IPI  Verbrauch   Ein	2018.06.19 05:33:47									
IPI3	IPI3	TX	A	IPI from SD     Out	IPI von SD      Aus	2018.06.19 05:33:47									
IPI4	IPI4	TX	A	IPI -Split Vendor	IPI -Split Vendor	2018.06.19 05:33:47									
IPI5	IPI5	TX	A	IPI  Consu. REF IPI2	IPI  Verbr. REF IPI2	2018.06.19 05:33:47									
IPI6	IPI6	TX	A	IPI  Consu. REF IPI2	IPI  Verbr. REF IPI2	2018.06.19 05:33:47									
IPIA	IPIA	TX	A	IPI Industr. Out	IPI Branche Aus.	2018.06.19 05:33:47									
IPIB	IPIB	TX	A	IPI Consum Out	IPI Verbrauch aus	2018.06.19 05:33:47									
IPIO	IPIO	TX	A	IPI Null Values NF	IPI Null Werte NF	2018.06.19 05:33:47									
IPIS	IPIS	TX	A	PIS deductible	PIS abzugsfähig	2018.06.19 05:33:47									
IPIX	IPIX	TX	A	IPI  Active	IPI  Aktiv	2018.06.19 05:33:47									
IPIY	IPIY	TX	A	IPI  Active	IPI  Aktiv	2018.06.19 05:33:47									
IPIZ	IPIZ	TX	A	IPI  Active	IPI  Aktiv	2018.06.19 05:33:47									
IPS3	IPS3	TX	A	PIS Normal Tax	PIS Normale Steuer	2018.06.19 05:33:47									
IPSA	IPSA	TX	A	PIS Normal PO/GR	PIS Normal PO/GR	2018.06.19 05:33:47									
IPSN	IPSN	TX	A	PIS Normal Tax	PIS Normale Steuer	2018.06.19 05:33:47									
IPSO	IPSO	TX	A	PIS Offset Tax Incl.	PIS Abgr.SteuerInkl.	2018.06.19 05:33:47									
IPSQ	IPSQ	TX	A	PIS WHT - Accum.	PIS QSt - kumuliert	2018.06.19 05:33:47									
IPSS	IPSS	TX	A	PIS Nrmal PO/GR	PIS Normal PO/GR	2018.06.19 05:33:47									
IPSU	IPSU	TX	A	PIS Normal IV NVV	PIS Normal IV NVV	2018.06.19 05:33:47									
IPSV	IPSV	TX	A	Offset IPSS / IPSU	Abgrenz. IPSS / IPSU	2018.06.19 05:33:47									
IPSW	IPSW	TX	A	PIS WHT	PIS QSt	2018.06.19 05:33:47									
IPSZ	IPSZ	TX	A	PIS WHT Offset	PIS QSt Abgrenzung	2018.06.19 05:33:47									
IPW3	IPW3	TX	A	PIS WHT SD	PIS QSt SD	2018.06.19 05:33:47									
IPW5	IPW5	TX	A	PIS WHT SD - Accum.	PIS QSt - kumuliert	2018.06.19 05:33:47									
IPZ3	IPZ3	TX	A	PIS WHT SD Offset	PIS QSt SD Abgrenz.	2018.06.19 05:33:47									
IRD1	IRD1	TX	A	ICMS Reimbursement	ICMS Erstattung	2018.06.19 05:33:47									
IRD2	IRD2	TX	A	ICMS Reimbur. Offset	ICMS Erstatt. Abgr.	2018.06.19 05:33:47									
IRD3	IRD3	TX	A	SUBT Reimbursement	SUBT Erstattung	2018.06.19 05:33:47									
IRD4	IRD4	TX	A	SUBT Reimbur. Offset	SUBT Erstatt. Abgr.	2018.06.19 05:33:47									
IRD5	IRD5	TX	A	ICMS Reim.Offset NVV	ICMS Erst. Abgr. NVV	2018.06.19 05:33:47									
IRD6	IRD6	TX	A	SUBT Reim.Offset NVV	SUBT Erst. Abgr. NVV	2018.06.19 05:33:47									
IRW3	IRW3	TX	A	IR WHT SD	IR QSt SD	2018.06.19 05:33:47									
IRW5	IRW5	TX	A	IR WHT SD-Accum.	IR QSt SD-Kumul.	2018.06.19 05:33:47									
IRZ3	IRZ3	TX	A	IR WHT SD Offset	IR QSt SD Abgrenzung	2018.06.19 05:33:47									
ISA3	ISA3	TX	A	ISS at Provider SD	ISS beim Anbieter SD	2018.06.19 05:33:47									
ISB3	ISB3	TX	A	ISS WHT at Prov. SD	ISS QSt beim Anb. SD	2018.06.19 05:33:47									
ISE3	ISE3	TX	A	ISS at Serv.Loc.  SD	ISS am LeistOrt   SD	2018.06.19 05:33:47									
ISF3	ISF3	TX	A	ISS WHT  Srv.Loc. SD	ISS QSt  LeistOrt SD	2018.06.19 05:33:47									
ISS2	ISS2	TX	A	ISS from MM  In	ISS von MM   Eing.	2018.06.19 05:33:47									
ISS3	ISS3	TX	A	ISS from SD     Out	ISS von SD      Ausg	2018.06.19 05:33:47									
ISSA	ISSA	TX	A	ISS at Provider	ISS beim Anbieter	2018.06.19 05:33:47									
ISSB	ISSB	TX	A	ISS WHT at Provider	ISS QSt beim Anbiet.	2018.06.19 05:33:47									
ISSE	ISSE	TX	A	ISS at Service Loc	ISS am Leistungsort	2018.06.19 05:33:47									
ISSF	ISSF	TX	A	ISS WHT at Serv. Loc	ISS QSt am LeistOrt	2018.06.19 05:33:47									
ISSG	ISSG	TX	A	ISS Offset	ISS Abgrenzung	2018.06.19 05:33:47									
ISSO	ISSO	TX	A	ISS from SD     Out	ISS von SD      Ausg	2018.06.19 05:33:47									
ISW3	ISW3	TX	A	CSLL WHT SD	CSLL QSt SD	2018.06.19 05:33:47									
ISW5	ISW5	TX	A	CSLL WHT SD - Accum.	CSLL QSt SD - Kumul.	2018.06.19 05:33:47									
ISZ3	ISZ3	TX	A	CSLL WHT SD Offset	CSLL QSt SD Abgrenz.	2018.06.19 05:33:47									
IT01	IT01	TX	A	ICMS Industr.    In	ICMS Branche    Eing	2018.06.19 05:33:47									
IT02	IT02	TX	A	ICMS Industr.    In	ICMS Branche    Eing	2018.06.19 05:33:47									
IT03	IT03	TX	A	ICMS Industr.    In	ICMS Branche    Eing	2018.06.19 05:33:47									
ITCO	ITCO	TX	A	COFINS	COFINS	2018.06.19 05:33:47									
ITPI	ITPI	TX	A	PIS	PIS	2018.06.19 05:33:47									
ITSL	ITSL	TX	A	ISS Service Location	ISS Leistungsort	2018.06.19 05:33:47									
ITSP	ITSP	TX	A	ISS Service Provider	ISS Dienstleister	2018.06.19 05:33:47									
ITWL	ITWL	TX	A	ISS WHT Service Lctn	ISS QSt Leistungsort	2018.06.19 05:33:47									
ITWP	ITWP	TX	A	ISS WHT Service Prv.	ISS QSt Dienstleist.	2018.06.19 05:33:47									
IUCO	IUCO	TX	A	COFINS Offset	COFINS Abgrenzung	2018.06.19 05:33:47									
IUPI	IUPI	TX	A	PIS Offset	PIS Abgrenzung	2018.06.19 05:33:47									
IUSL	IUSL	TX	A	ISS Offset Serv.Loc.	ISS Abgrenz.LeistOrt	2018.06.19 05:33:47									
IUSP	IUSP	TX	A	ISS Offset Srv.Prvdr	ISS Abgrenz.Dienstl.	2018.06.19 05:33:47									
IVCO	IVCO	TX	A	COFINS Offset Sales	COFINS Abgrenz. Ums.	2018.06.19 05:33:47									
IVPI	IVPI	TX	A	PIS Offset Sales	PIS Abgrenz. Umsatz	2018.06.19 05:33:47									
IVSL	IVSL	TX	A	ISS Offset SL Sales	ISS Abgrenz. SL Ums.	2018.06.19 05:33:47									
IVSP	IVSP	TX	A	ISS Offset SP Sales	ISS Abgrenz. SP Ums.	2018.06.19 05:33:47									
J1A1	J1A1	TX	A	GI surch. Region 1	GI Zuschlag Region 1	2018.06.19 05:33:47									
J1A2	J1A2	TX	A	GI surch. Region 2	GI Zuschlag Region 2	2018.06.19 05:33:47									
J1A3	J1A3	TX	A	GI surch. Region 3	GI Zuschlag Region 3	2018.06.19 05:33:47									
J1AA	J1AA	TX	A	VAT Disc. Customs	MwSt. Rabatt Zoll	2018.06.19 05:33:47									
J1AG	J1AG	TX	A	ET Disc. Customs	ET Rabatt Zoll	2018.06.19 05:33:47									
J1AI	J1AI	TX	A	Internal Purch. Tax	Interne Vorsteuer	2018.06.19 05:33:47									
J1AL	J1AL	TX	A	Exemption w. Credit	Befreiung mit Haben	2018.06.19 05:33:47									
J1AN	J1AN	TX	A	Exemption w/o Credit	Befreiung ohne Haben	2018.06.19 05:33:47									
J1AP	J1AP	TX	A	VAT discount	MwSt.-Rabatt	2018.06.19 05:33:47									
J1AR	J1AR	TX	A	VAT Surcharge RNI	MwSt.-Zuschlag RNI	2018.06.19 05:33:47									
J1AS	J1AS	TX	A	Surcharge No Categ.	Zuschlag keine Katg.	2018.06.19 05:33:47									
J1AV	J1AV	TX	A	Internal Purch. Tax	Interne Vorsteuer	2018.06.19 05:33:47									
J1AY	J1AY	TX	A	Not taxed	Nicht besteuert	2018.06.19 05:33:47									
J2A1	J2A1	TX	A	ISC Perú	ISC Peru	2018.06.19 05:33:47									
J2A2	J2A2	TX	A	IGV Perú - Adq.002	IGV Peru - Adq. 002	2018.06.19 05:33:47									
J2A3	J2A3	TX	A	IGV Perú - Adq.003	IGV Peru - Adq. 003	2018.06.19 05:33:47									
J2A4	J2A4	TX	A	Advalorem (Perú)	Advalorem (Peru)	2018.06.19 05:33:47									
J2A5	J2A5	TX	A	IPM tax Peru	IPM-Steuer Peru	2018.06.19 05:33:47									
J3A1	J3A1	TX	A	Fuel tax (ded.)	Brennstoffst. (abz.)	2018.06.19 05:33:47									
J3A2	J3A2	TX	A	Fuel tax (nonded.)	BrennstSt.(n. abz.)	2018.06.19 05:33:47									
JAED	JAED	TX	A	IN: A/R AED	IN: DE AED	2018.06.19 05:33:47									
JAIP	JAIP	TX	A	IN AED inventory %	IN AED Bestand %	2018.06.19 05:33:47									
JAIQ	JAIQ	TX	A	IN AED inventory Qty	IN AED Bestandsmenge	2018.06.19 05:33:47									
JAO1	JAO1	TX	A	IN: A/P AED deductib	IN: KR AED abzugsf.	2018.06.19 05:33:47									
JAO2	JAO2	TX	A	IN:A/P AED nondeduct	IN:KR AED n. abzugs.	2018.06.19 05:33:47									
JAOP	JAOP	TX	A	IN: AED setoff %	IN: AED Aufrechn. %	2018.06.19 05:33:47									
JAOQ	JAOQ	TX	A	IN: AED setoff Qty	IN: AED Aufrech. Mge	2018.06.19 05:33:47									
JAX1	JAX1	TX	A	IN: A/P AED setoff	IN: KR AED Aufrechn.	2018.06.19 05:33:47									
JAX2	JAX2	TX	A	IN: A/P AED inventor	IN: KR AED Bestand	2018.06.19 05:33:47									
JC1E	JC1E	TX	A	A/P GST Recoverable	KR GST weiterreichb.	2018.06.19 05:33:47									
JC1I	JC1I	TX	A	A/P PST distributed	KR PST verteilt	2018.06.19 05:33:47									
JC1S	JC1S	TX	A	A/P recoverable	KR weiterreichbar	2018.06.19 05:33:47									
JC1T	JC1T	TX	A	A/P Travel GST	Kreditoren Reise GST	2018.06.19 05:33:47									
JC1U	JC1U	TX	A	A/P PST Self-assess	KR PST Selbstveranl.	2018.06.19 05:33:47									
JC2E	JC2E	TX	A	A/P GST distributed	KR GST verteilt	2018.06.19 05:33:47									
JC2I	JC2I	TX	A	A/P prov. (B+GST)	KR Rückst. (B+GST)	2018.06.19 05:33:47									
JC2S	JC2S	TX	A	A/P QST	Kreditoren QST	2018.06.19 05:33:47									
JC2T	JC2T	TX	A	A/P Travel HST	Kreditoren Reise HST	2018.06.19 05:33:47									
JC2U	JC2U	TX	A	A/P assess QST	Kredit. veranl. QST	2018.06.19 05:33:47									
JC3I	JC3I	TX	A	A/P prov. (B+GST)	KR Rückst. (B+GST)	2018.06.19 05:33:47									
JC3S	JC3S	TX	A	A/P Recov. B + GST	KR Rückford. B + GST	2018.06.19 05:33:47									
JC3T	JC3T	TX	A	A/P Travel QST	Kreditoren Reise QST	2018.06.19 05:33:47									
JC3U	JC3U	TX	A	A/P assess B + GST	KR veranl. B + GST	2018.06.19 05:33:47									
JC4I	JC4I	TX	A	A/P prov. (B+GST)	KR Rückst. (B+GST)	2018.06.19 05:33:47									
JC4S	JC4S	TX	A	A/P Recov. B + GST	KR Rückford. B + GST	2018.06.19 05:33:47									
JC4T	JC4T	TX	A	Recapture ITC	Rückgew. VorSt (ITC)	2018.06.19 05:33:47									
JC4U	JC4U	TX	A	A/P assess B + GST	KR veranl. B + GST	2018.06.19 05:33:47									
JC5S	JC5S	TX	A	A/P HST	Kreditoren HST	2018.06.19 05:33:47									
JC5T	JC5T	TX	A	PST/QST Non-Recovera	PST/QST ni.erstattb.	2018.06.19 05:33:47									
JC5U	JC5U	TX	A	A/P assess HST	Kredit. veranl. HST	2018.06.19 05:33:47									
JC6T	JC6T	TX	A	Distributed Expenses	Verteilte Kosten	2018.06.19 05:33:47									
JC7T	JC7T	TX	A	Recapture ITC (DR)	Rückgew. InvFö. (De)	2018.06.19 05:33:47									
JCES	JCES	TX	A	IN: A/R Cess	IN: DE Cess	2018.06.19 05:33:47									
JCIN	JCIN	TX	A	IN:GST Comp.Cess -ND	IN: GST Comp.Cess NA	2018.06.19 05:33:47									
JCIR	JCIR	TX	A	IN: RCM Comp. CESS	IN: RCM Comp.-CESS	2018.06.19 05:33:47									
JCIS	JCIS	TX	A	IN: State GST	IN: Bundesstaat-GST	2018.06.19 05:33:47									
JCOS	JCOS	TX	A	IN: GST Comp.Cess-OP	IN: GSTCompCess Ausg	2018.06.19 05:33:47									
JCRN	JCRN	TX	A	IN: RCM CGST Inv	IN: RCM CGST inv.	2018.06.19 05:33:47									
JCS1	JCS1	TX	A	IN A/R CST out	IN DE CST Ausg.	2018.06.19 05:33:47									
JCS2	JCS2	TX	A	IN A/R Sur out	IN DE Zuschlag ausg.	2018.06.19 05:33:47									
JGST	JGST	TX	A	A/P GST	KR GST	2018.06.19 05:33:47									
JICG	JICG	TX	A	IN: Central GST	IN: Zentral-GST	2018.06.19 05:33:47									
JICN	JICN	TX	A	IN: Central GST – ND	IN: Zentral-GST - NA	2018.06.19 05:33:47									
JICR	JICR	TX	A	IN: RCM CGST	IN: RCM CGST	2018.06.19 05:33:47									
JIDC	JIDC	TX	A	IN:GST Comp.Cess Imp	IN:GST Comp.Cess Imp	2018.06.19 05:33:47									
JIIG	JIIG	TX	A	IN: Integrated GST	IN: Integrierte GST	2018.06.19 05:33:47									
JIIN	JIIN	TX	A	IN:Integrated GST-ND	IN: Integr. GST - NA	2018.06.19 05:33:47									
JIIR	JIIR	TX	A	IN: RCM IGST	IN: RCM IGST	2018.06.19 05:33:47									
JIMD	JIMD	TX	A	IN:Import GST deduct	IN: Import-GST abzf.	2018.06.19 05:33:47									
JIMN	JIMN	TX	A	IN: Import GST ND	IN: Import-GST NA	2018.06.19 05:33:47									
JIN1	JIN1	TX	A	IN: A/R CST	IN: DE CST	2018.06.19 05:33:47									
JIN2	JIN2	TX	A	IN: AR LST	IN: DE LST	2018.06.19 05:33:47									
JIN4	JIN4	TX	A	IN: A/R CST Surcharg	IN: DE CST Zuschlag	2018.06.19 05:33:47									
JIN5	JIN5	TX	A	IN: AR LST Surcharg	IN: DE LST Zuschlag	2018.06.19 05:33:47									
JINC	JINC	TX	A	IN:Comp.Cess Imp-ND	IN: Comp.Cess Imp NA	2018.06.19 05:33:47									
JIP1	JIP1	TX	A	IN:A/P CST	IN: KR CST	2018.06.19 05:33:47									
JIP2	JIP2	TX	A	IN:A/P LST	IN: KR LST	2018.06.19 05:33:47									
JIP3	JIP3	TX	A	IN: A/P ST setoff	IN: KR ST Aufrechn.	2018.06.19 05:33:47									
JIP4	JIP4	TX	A	IN: A/P surcharge	IN: KR Zuschlag	2018.06.19 05:33:47									
JIPC	JIPC	TX	A	IN C Sales tax inv.	IN C Umsatzst. Best.	2018.06.19 05:33:47									
JIPL	JIPL	TX	A	IN L Sales tax inv.	IN L Umsatzst. Best.	2018.06.19 05:33:47									
JIPS	JIPS	TX	A	IN Sales tax setoff	IN Umsatzst. Aufrech	2018.06.19 05:33:47									
JIRN	JIRN	TX	A	IN: RCM IGST Inv	IN: RCM IGST inv.	2018.06.19 05:33:47									
JISG	JISG	TX	A	IN: State GST	IN: Bundesstaat-GST	2018.06.19 05:33:47									
JISN	JISN	TX	A	IN: State GST – ND	IN: Bundesst.-GST NA	2018.06.19 05:33:47									
JISR	JISR	TX	A	IN: RCM SGST	IN: RCM SGST	2018.06.19 05:33:47									
JIUG	JIUG	TX	A	IN: Union Ter. GST	IN: Unionsterr.-GST	2018.06.19 05:33:47									
JIUN	JIUN	TX	A	IN: UnionTer. GST-ND	IN: UnionTrr.-GST NA	2018.06.19 05:33:47									
JIUR	JIUR	TX	A	IN: RCM UTGST	IN: RCM UTGST	2018.06.19 05:33:47									
JLS1	JLS1	TX	A	IN A/P LST out	IN KR LST Ausg.	2018.06.19 05:33:47									
JLS2	JLS2	TX	A	IN A/P LST Surc out	IN KR LST ZuschlAusg	2018.06.19 05:33:47									
JMIP	JMIP	TX	A	IN: BED inventory %	IN: BED Bestand %	2018.06.19 05:33:47									
JMIQ	JMIQ	TX	A	IN: BED inventory Qt	IN: BED Bestandsmge.	2018.06.19 05:33:47									
JMO1	JMO1	TX	A	IN: A/P BED deductib	IN: KR BED abzugsf.	2018.06.19 05:33:47									
JMO2	JMO2	TX	A	IN: A/P BED non dedu	IN: KR BED n. abzug.	2018.06.19 05:33:47									
JMOD	JMOD	TX	A	IN: A/R BED	IN: DE BED	2018.06.19 05:33:47									
JMOP	JMOP	TX	A	IN: BED setoff %	IN: BED Aufrechn. %	2018.06.19 05:33:47									
JMOQ	JMOQ	TX	A	IN: BED setoff Qty	IN: BED Aufrech. Mge	2018.06.19 05:33:47									
JMX1	JMX1	TX	A	IN: A/P BED setoff	IN: KR BED Aufrechn.	2018.06.19 05:33:47									
JMX2	JMX2	TX	A	IN: A/P BED inventor	IN: KR BED Bestand	2018.06.19 05:33:47									
JOCG	JOCG	TX	A	IN:Central GST - OP	IN: Zentr.-GST Ausg.	2018.06.19 05:33:47									
