LEGACY_SCB_IND	SCB_IND	REP_REC_DOC_TYPE	INDICATOR_ACC_SERV_SPEC	REASON_FOR_PAYMENT	REASON_FOR_PAYMENT_2	EDI_DOC_TYPE	DI_TIMESTAMP								
614	614	2	614	Nutzungen von audiovisuellen Produkten und sonstigen künstlerischen	Urheberrechten	 	2017.07.06 08:56:49								
615	615	2	615	Nutzung von Forschungsergebnissen, Erfindungen und Verfahren	 	 	2017.07.06 08:56:49								
616	616	2	616	Nutzung von Marken-, Warenzeichen, Namensrechten und Franchise	 	 	2017.07.06 08:56:49								
617	617	2	617	Nutzung von sonstigen Rechten	 	 	2017.07.06 08:56:49								
619	619	2	619	Amtliche Gebühren	 	 	2017.07.06 08:56:49								
623	623	2	623	Reproduktion und Vertrieb von Computersoftware	 	 	2017.07.06 08:56:49								
624	624	2	624	Reproduktion, Vertrieb und Übertragung von audiovisuellen Produkten	und sonstigen künstlerischen Urheberrechten	 	2017.07.06 08:56:49								
627	627	2	627	Sonstige Vertriebsrechte	 	 	2017.07.06 08:56:49								
629	629	2	629	Weltraumtransporte	 	 	2017.07.06 08:56:49								
633	633	2	633	Kauf/Verkauf von Software	 	 	2017.07.06 08:56:49								
634	634	2	634	Kauf/Verkauf von audiovisuellen Produkten und sonstigen künstlerischen	Urheberrechten	 	2017.07.06 08:56:49								
635	635	2	635	Kauf/Verkauf von Forschungsergebnissen	 	 	2017.07.06 08:56:49								
636	636	2	636	Kauf/Verkauf von Markenrechten und Warenzeichen	 	 	2017.07.06 08:56:49								
637	637	2	637	Kauf/Verkauf von sonstigen Rechten	 	 	2017.07.06 08:56:49								
638	638	2	638	Ausländische Pensionskassen und Vorsorgewerke	 	 	2017.07.06 08:56:49								
639	639	2	639	Inlländische Pensionskassen und Vorsorgewerke	 	 	2017.07.06 08:56:49								
641	641	4	641	Variabel verzinsliche Anleihen inländischer öffentlicher Emittenten	 	 	2017.07.06 08:56:49								
643	643	2	643	Freizeit- und Kulturdienstleistungen	 	 	2017.07.06 08:56:49								
646	646	4	646	Inländische Geldmarktfonds mit Ertragsauschüttung (auch bei Wahl-	möglichkeit zwischen Barausschüttung und Thesaurierung	 	2017.07.06 08:56:49								
647	647	4	647	Inländische thesaurierende Geldmarktfonds	 	 	2017.07.06 08:56:49								
654	654	2	654	Personenbeförderung auf See	 	 	2017.07.06 08:56:49								
657	657	2	657	Versicherungsnebenleistungen	 	 	2017.07.06 08:56:49								
658	658	2	658	Gesundheitsleistungen	 	 	2017.07.06 08:56:49								
659	659	2	659	Bildungsdienstleistungen	 	 	2017.07.06 08:56:49								
661	661	2	661	Sonstige Binnenschiffsfrachten	 	 	2017.07.06 08:56:49								
664	664	2	664	Personenbeförderung auf Binnenschiffen	 	 	2017.07.06 08:56:49								
669	669	2	669	Seefrachten im Zusammenhang mit den deutschen Ein- und Ausfuhren und	Verbringungen	 	2017.07.06 08:56:49								
670	670	2	670	Transportnebenleistungen für den Straßenverkehr	 	 	2017.07.06 08:56:49								
671	671	2	671	Sonstige Straßenfrachten	 	 	2017.07.06 08:56:49								
674	674	2	674	Personenbeförderung auf der Straße	 	 	2017.07.06 08:56:49								
676	676	2	676	Bahnfrachten im Zusammenhang mit den deutschen Ein- und Ausfuhren und	Verbringungen	 	2017.07.06 08:56:49								
680	680	2	680	Allgemeine Transportnebenleistungen	 	 	2017.07.06 08:56:49								
681	681	2	681	Sonstige Bahnfrachten	 	 	2017.07.06 08:56:49								
690	690	2	690	Transportnebenleistungen für den Binnenschiffsverkehr	 	 	2017.07.06 08:56:49								
691	691	2	691	Sonstige Post- und Kurierdienste	 	 	2017.07.06 08:56:49								
694	694	2	694	Pacht	 	 	2017.07.06 08:56:49								
695	695	2	695	Sonstige personenbezogene Dienstleistungen	 	 	2017.07.06 08:56:49								
696	696	2	696	Post- und Kurierdienste im Zusammenhang mit den deutschen Ein- und	Ausfuhren und Verbringungen	 	2017.07.06 08:56:49								
685	685	4	685	Erträge auf inländische Investmentanteile, die an Ausländer gezahlt	werden bzw. die Inländer von ausl. Lagerstellen erhalten	 	2017.07.06 08:56:49								
689	689	4	689	Kred.v. Tochterunt. an Dir.Invest. : Zinsen für inl. Tochterunt. sowie	Zinsen für inl. Dir.Invest. von ihren ausl. Tochterunternehmen	 	2017.07.06 08:56:49								
700	700	4	700	Einnahmen und Ausgaben der Bundeswehr	 	 	2017.07.06 08:56:49								
701	701	2	701	Euro-Anleihen ausländischer öffentlicher Emittenten	 	 	2017.07.06 08:56:49								
702	702	2	702	Euro-Anleihen ausländischer privater Emittenten	 	 	2017.07.06 08:56:49								
710	710	4	710	Zahlungen des Bundes an die diplomatischen Vertretungen im Ausland zur	Bestreitung der laufenden Kosten	 	2017.07.06 08:56:49								
712	712	4	712	Gehaltszahlungen an deutsche Beschäftigte bei deutschen Botschaften	und Konsulaten	 	2017.07.06 08:56:49								
720	720	4	720	Wiedergutmachungsleistungen öffentlicher Stellen	 	 	2017.07.06 08:56:49								
724	724	4	724	Wiedergutmachungsleistungen privater Stellen	 	 	2017.07.06 08:56:49								
725	725	4	725	Schuldenerlass des Bundes	 	 	2017.07.06 08:56:49								
727	727	4	727	Privater Schuldenerlass	 	 	2017.07.06 08:56:49								
728	728	4	728	Unterstützungszahlungen zwischen privaten Haushalten	 	 	2017.07.06 08:56:49								
729	729	4	729	Sonstige private Unterstützungszahlungen	 	 	2017.07.06 08:56:49								
740	740	4	740	Transaktionen mit Internationalen Organisationen	 	 	2017.07.06 08:56:49								
760	760	4	760	Sonstige Einnahmen und Ausgaben des Bundes, der Länder, Gemeinden	und anderer öffentlicher Stellen	 	2017.07.06 08:56:49								
762	762	4	726	Einkommensteuer und Solidaritätszuschlag	 	 	2017.07.06 08:56:49								
763	763	4	723	Kapitalertrags- und Körperschaftsteuer	 	 	2017.07.06 08:56:49								
764	764	4	724	Mehrwertsteuer	 	 	2017.07.06 08:56:49								
765	765	4	725	Gewerbesteuer	 	 	2017.07.06 08:56:49								
769	769	4	769	Grund- und  Grunderwerbssteuer	 	 	2017.07.06 08:56:49								
770	770	2	770	Lieferungen von Waren und Dienstleistungen an die im Inland	stationierten ausländischen Streitkräfte	 	2017.07.06 08:56:49								
774	774	4	774	Sonstige Steuern	 	 	2017.07.06 08:56:49								
782	782	4	782	Zinsen auf Wertpapiere ausländischer öffentlicher Emittenten, die von	inländischen Öffentlichen Haushalten vereinnahmt werden	 	2017.07.06 08:56:49								
994	994	2	994	Handel mit elektischem Strom – Übergabepunkt im Inland	 	 	2017.07.06 08:56:49								
995	995	2	995	Handel mit elektischem Strom – Übergabepunkt im Ausland	 	 	2017.07.06 08:56:49								
997	997	2	997	Einnahmen und Ausgaben im Sonstigen Warenverkehr	 	 	2017.07.06 08:56:49								
783	783	4	783	Zinsen auf Wertpapiere ausländischer privater Emittenten, die von inl.	Öffentlichen Haushalten vereinnahmt werden	 	2017.07.06 08:56:49								
789	789	4	789	Kred.zw.Schwesterunternehmen : Zinsen f. verb. Unternehmen,	die einen gemeinsamen Direktinvestor haben	 	2017.07.06 08:56:49								
810	810	4	810	Zahlungen im Verkehr mit ausländischen Behörden	 	 	2017.07.06 08:56:49								
812	812	4	812	Subventionen der Europäischen Union	 	 	2017.07.06 08:56:49								
820	820	4	820	OTC-Optionen mit ausländischen Stillhaltern	 	 	2017.07.06 08:56:49								
821	821	4	821	Optionen, ausländische Terminbörsen	 	 	2017.07.06 08:56:49								
827	827	2	827	Erwerb bzw. Veräußerung von Kapitalbeteil., Kapitaleinz., Kapitalerhöh	und Kapitalherab. bei ausländischen börsennotierten Aktiengesellschaft	 	2017.07.06 08:56:49								
830	830	4	830	OTC-Optionen mit inländischen Stillhaltern	 	 	2017.07.06 08:56:49								
831	831	4	831	Optionen, inländische Terminbörsen	 	 	2017.07.06 08:56:49								
832	832	4	832	Mitarbeiteroptionen von inländischen Gesellschaften	 	 	2017.07.06 08:56:49								
833	833	4	833	Mitarbeiteroptionen von ausländischen Gesellschaften	 	 	2017.07.06 08:56:49								
840	840	4	840	Credit Default Swaps	 	 	2017.07.06 08:56:49								
842	842	4	842	Financial Futures, inländische Terminbörsen	 	 	2017.07.06 08:56:49								
847	847	4	847	Erw. bzw. Ver. Kap.bet. a. inl. börsenn. MFIs als AG sowie Kap.einz.	, Kap.erh., Kap.herabs. in F. v. inl. Aktien. ausg. durch börsenn. MFI	 	2017.07.06 08:56:49								
850	850	4	850	Erbschaft, Vermächtnis, Schenkung, Restitution	 	 	2017.07.06 08:56:49								
854	854	4	854	Sonstige Übertragungen	 	 	2017.07.06 08:56:49								
861	861	4	861	Unterstützungszahlungen ausländischer Arbeitnehmer	 	 	2017.07.06 08:56:49								
862	862	4	862	Kapitalanlagen ausländischer Arbeitnehmer	 	 	2017.07.06 08:56:49								
882	882	4	882	Financial Futures, ausländische Terminbörsen	 	 	2017.07.06 08:56:49								
883	883	4	883	Sonstige außerbörsliche Termingeschäfte	 	 	2017.07.06 08:56:49								
889	889	4	889	Kred.v.Finanz.töchter an Dir.Invest.: Zinsen f. inl. Finanz.töchter	sowie Zinsen f. ausl. Finanz.töchter v. inl. Dir.Investoren	 	2017.07.06 08:56:49								
898	898	4	898	Forward Rate Agreements	 	 	2017.07.06 08:56:49								
950	950	2	950	Sonstige Transaktionen für Waren und Dienstleistungen	 	 	2017.07.06 08:56:49								
951	951	4	951	Sonstige Transaktionen im Kapitalverkehr	 	 	2017.07.06 08:56:49								
984	984	4	984	Equity Swaps	 	 	2017.07.06 08:56:49								
989	989	2	989	Handel mit Gold	 	 	2017.07.06 08:56:49								
990	990	2	990	Handel mit Gas – Übergabepunkt im Ausland	 	 	2017.07.06 08:56:49								
941	941	4	941	Gew. u. Rückzahl. v. Krediten (sowie offene Abtret. v. Inl.ford.) m.	Lz. > 12M a. inl. Nichtfinanzielle Unternehmen u. Privatpersonen	 	2017.07.06 08:56:49								
885	885	4	885	Erträge auf ausländische Investmentzertifikate, die von inländischen	Unternehmen, Pivatpers. und öffentl. Haushalte vereinnahmt o. gez. wer	 	2017.07.06 08:56:49								
927	927	2	927	Erwerb bzw. Veräußerung von Kapitalbeteil., Kapitaleinz., Kapitalerhöh	und Kapitalherab. bei ausländischen börsennotierten Aktiengesellschaft	 	2017.07.06 08:56:49								
947	947	4	947	Erw. bzw. Ver. Kap.bet. a. inl. börsenn. Unt. als AG sowie Kap.einz.	, Kap.erh., Kap.herabs. in F. v. inl. Aktien. ausg. d. börsenn. Unt.	 	2017.07.06 08:56:49								
963	963	4	963	Erstabs. u. off. Abtret. sowie Til. o. Rückerw. v. lgfrist. n.börsenn.	(Lz > 12M) d. Inländer: Emissionen von nicht-finanz. Unternehmen	 	2017.07.06 08:56:49								
975	975	4	975	St. Abtr. u. Til. v.kfr. Inl.ford. u.n. börsennot. Wertpap. (bis 12M)	d. Inländer, untersch. n. Schuldnergr.: Nichtfinanzielle Unternehmen	 	2017.07.06 08:56:49								
976	976	4	976	St. Abtr. u. Til. v. lgfr. Inl.ford. und nicht-börsennot. Wertpap.	(Lz > 12M) d. Inl., untersch. n. Sculdnergr.: Nicht-finan. Unternehmen	 	2017.07.06 08:56:49								
985	985	4	985	Erträge aus ausländischen Aktien oder Genussscheinen, die von inländ.	Untenhemen u. Privatpersonen vereinahmt werden	 	2017.07.06 08:56:49								
998	998	2	998	Handel mit Gas – Übergabepunkt im Inland	 	 	2017.07.06 08:56:49								
